UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.421786922179358,Unnamed: 122,Unnamed: 123,17.994290920186685,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
TRADICIONAL,51788485.79,0.9894593436644992,,50889617,0.9996828363253298,,898868.7899999991,0.017663107780905466,,46437608.18,0.9956915950950813,,,,,46437608.18,,,52729207.323400006,0.9864479633054428,,,,,52729207.323400006,,,150955301.2934,20.267133061593118,,49556701.06999999,0.9801201302024378,,,,,49556701.06999999,,,42206480.229600005,0.9912037815933484,,,,,42206480.229600005,,,45143766.6904,0.9955746291572359,,,,,45143766.6904,,,136906947.99,19.33498222876683,,49917642.81,0.9919808249143832,,,,,49917642.81,,,40467987.63,0.9856919559097574,,,,,40467987.63,,,48344416.489999995,0.99324189013324,,,,,48344416.489999995,,,138730046.93,18.465502196190027,,52298057.629999995,0.9962692899428347,,,,,52298057.629999995,,,,,,,,,,,,,,,,,,,,,52298057.629999995,18.344775646415226,,478890353.8434,0.9905408361676278,,50889617,1,,428000736.8434,8.41037449433742,,,,,
AUTOMOTRIZ,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
EMPAQUE,551699.91,0.010540656335500928,,0,0,,551699.91,,,200937.74,0.004308404904918613,,,,,200937.74,,,724405.3200000001,0.013552036694557134,,,,,724405.3200000001,,,1477042.9700000002,0.19830655932048094,,1005163.2799999999,0.019879869797562164,,,,,1005163.2799999999,,,374552.06,0.008796218406651466,,,,,374552.06,,,200665.93,0.004425370842764112,,,,,200665.93,,,1580381.27,0.223192790568656,,403534.33,0.008019175085616847,,,,,403534.33,,,587422.62,0.014308044090242649,,,,,587422.62,,,328939.89,0.006758109866759923,,,,,328939.89,,,1319896.84,0.1756833399621216,,195839.51,0.003730710057165324,,,,,195839.51,,,,,,,,,,,,,,,,,,,,,195839.51,0.06869532132667643,,4573160.59,0.009459163832372258,,0,0,,4573160.59,,,,,,
PROD HOGAR,0,0,,0,0,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,
OTROS INGRESOS,,0,,16145.458683280922,0.00031716367467013353,,-16145.458683280922,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,0,,0,,,,,,
TOTAL VENTAS,52340185.699999996,,,50905762.45868328,,,1434423.2413167183,0.02817801309784794,,46638545.92,,,,,,46638545.92,,,53453612.643400006,,,,,,53453612.643400006,,,152432344.2634,,,50561864.349999994,,,,,,50561864.349999994,,,42581032.28960001,,,,,,42581032.28960001,,,45344432.6204,,,,,,45344432.6204,,,138487329.26,,,50321177.14,,,,,,50321177.14,,,41055410.25,,,,,,41055410.25,,,48673356.379999995,,,,,,48673356.379999995,,,140049943.76999998,,,52493897.13999999,,,,,,52493897.13999999,,,,,,,,,,,,,,,,,,,,,52493897.13999999,,,483463514.4334,,,50889617,,,432573897.4334,8.500238809684891,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,6432243.699999967,0.10944321624383917,,42370933.39,0.45424993889937537,,-35938689.690000035,-0.8481920697664393,,6727369.500000002,0.12606116557833427,,,,,6727369.500000002,,,7860693.519999998,0.12820325323508655,,,,,7860693.519999998,,,21020306.719999965,0.12118757828620147,,7389255.449999975,0.12750841529036303,,,,,7389255.449999975,,,6547904.539999988,0.1332799967300514,,,,,6547904.539999988,,,5546525.21999998,0.10898842260730353,,,,,5546525.21999998,,,19483685.20999994,0.12333708987923263,,7815856.93000003,0.13443852193404518,,,,,7815856.93000003,,,6584910.570000027,0.13822137333793091,,,,,6584910.570000027,,,6587947.249999984,0.11921447409401237,,,,,6587947.249999984,,,20988714.75000004,0.1303333928815196,,9247981.740000036,0.14978458556426802,,,,,9247981.740000036,,,,,,,,,,,,,,,,,,,,,9247981.740000036,0.14978458556426802,,70740688.42,0.12764372420090175,,42370933.39,0.4543285795849569,,28369755.03,0.6695569995797065,,,,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
