,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+) OTROS INGRESOS,11417.46,,521046.44999999995,,86407.92,,2817.86,,-115978.88,,,,505710.80999999994,,0,,,,(+) OTROS INGRESOS,,,72000,,,,72000,0.003781640489636473,,,20137.33,,,,20137.33,0.00013215301113094844,,0,398608.46,,,,398608.46,,,,-21120,,0,,-21120,,,,20868.21,,,,,,20868.21,0.0011014968102088705,,,35948.09,,,,35948.09,0.0004541637259898028,,,,,0,0,0,,,,0,0,,,862.07,,,,862.07,1.089128583087528e-05,,1033014.9699999997,,1033014.97,0,,
(+) TRANSFERENCIAS ENVIADAS,24795379.609999962,,9290659.800000004,,16693269.80999999,,6091193.870000001,,1320010.8199999998,,,,58190513.90999996,,0,,,,TRANSFERENCIAS ENVIADAS,7617388.140000002,,51949.92000000001,,,,7669338.060000002,0.4028149907834173,60399450.06999983,,9961378.470000006,,,,70360828.53999984,0.46174916720485554,28659715.080000166,,588604.28,,,,29248319.360000167,,1725140.4799999995,,1104662.9500000002,,,,1104662.9500000002,,0,,74850,,12356719.349999992,,0,,12431569.349999992,0.6561815308986901,7389255.449999975,,7819266.999999999,,0,,15208522.449999973,0.19214259290803914,139660.06000000003,,,,139660.06000000003,0.007961269697085414,416138.46,,,,416138.46,0.051780940001047,9950215.800000004,,0,,0,,9950215.800000004,0.12570979660200607,,206444909.41999993,,,,,
VENTAS NETAS,34627863.14999996,,38645395.95999996,,16981424.74999999,,6265389.250000001,1,33184511.9215,1,0,,129704585.03149992,1,0,1,,,VENTAS NETAS,7617388.140000002,1,11421967.98,1,0,,19039356.120000005,1,64663717.71999983,1,87715178.74000001,1,0,,152378896.45999986,1,53351353.920000166,1,52855492.09999999,1,0,,106206846.02000013,1,12331185.029999997,1,2405556.2,1,0,,2405556.2,1,0,1,6497849.3599999985,1,12447471.049999991,1,0,,18945320.40999999,1,57951119.79999997,1,21201150.5,1,0,,79152270.29999998,1,17542435.48,1,0,,17542435.48,1,8036518.069999999,1,0,,8036518.069999999,1,9950215.800000004,1,3494728.35,1,0,,13444944.150000004,1,,558154898.3014998,1,351709988.8814999,207477924.39,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTARIO INICIAL,32182574.830000002,,19837505.89,,4251752.04,,5010311.29,,36232349.19,,,,97514493.24,,4644459.34,,,,INVENTARIO INICIAL,11365667.5,,1416305.52,,,,12781973.02,,98110093.00999999,,28966676.04,,,,127076769.04999998,,58733176.879999995,,143537233.86,,,,202270410.74,,13105355.4,,31567648.57,,,,31567648.57,,0,,3530940.42,,165252365.69,,,,168783306.10999998,,59199688.68,,84963863.67,,,,144163552.35,,4016537.5,,,,4016537.5,,3226665.2199999997,,,,3226665.2199999997,,40586764.59,,2276572.88,,,,42863337.470000006,,,852014508.01,,,,,
(+) COMPRAS,28701684.89,,1311634.76,,6994781.33,,4622045.06,,6241008.77,,,,47871154.81,,0,,,,(+) COMPRAS,9260852.7,,4761.9,,,,9265614.6,,41262914.72,,3183769.01,,,,44446683.73,,30396208.23,,8214534.26,,,,38610742.49,,14908651.5,,1634848.04,,,,1634848.04,,0,,1229345.08,,4529865.66,,,,5759210.74,,37902280.07,,401031.93,,,,38303312,,1339518.95,,,,1339518.95,,0,,,,0,,5541781.22,,168240.21,,,,5710021.43,,,207849758.29,,,,,
(+) TRANSFERENCIAS RECIBIDAS,838004.7300000002,,22586138.609999977,,7602850.970000001,,397288.09000000014,,17410130.93999999,,,,48834413.339999974,,0,,,,(+) TRANSFERENCIAS RECIBIDAS,678550.1900000001,,8320056.170000003,,,,8998606.360000003,,9041039.140000004,,60460767.07999984,,,,69501806.21999985,,947211.3700000001,,49507254.960000165,,,,50454466.33000016,,63282.36,,485005.76,,,,485005.76,,0,,1832059.6599999997,,1216923.72,,,,3048983.38,,304536.75999999995,,7440197.449999975,,,,7744734.209999975,,9532501.540000007,,,,9532501.540000007,,5229741.709999993,,,,5229741.709999993,,603922.07,,1947446.1399999992,,,,2551368.209999999,,,206444909.42,,0,,,
(=) MATERIAL DISPONIBLE,61722264.449999996,,43735279.259999976,,18849384.340000004,,10029644.44,,59883488.89999998,,,,194220061.39,,4644459.34,,,,(=) MATERIAL DISPONIBLE,21305070.39,,9741123.590000004,,,,31046193.98,,148414046.87,,92611212.12999985,,,,241025258.99999982,,90076596.48,,201259023.08000016,,,,291335619.5600002,,28077289.259999998,,33687502.37,,,,33687502.37,,0,,6592345.16,,170999155.07,,,,177591500.23,,97406505.51,,92805093.04999998,,,,190211598.55999997,,14888557.990000006,,,,14888557.990000006,,8456406.929999992,,,,8456406.929999992,,46732467.88,,4392259.229999999,,,,51124727.11000001,,,1266309175.72,,,,,
(--) INVENTARIO FINAL,31182122.300000004,,20460141.46,,4341373.25,,4982139.36,,34072399.63999999,,,,95038176.00999999,,4644459.34,,,,(--) INVENTARIO FINAL,14560406.4,,2034762.48,,,,16595168.88,,87724885.82000001,,30476436.75,,,,118201322.57000001,,51249858.19,,156850332.74,,,,208100190.93,,19557424.73,,32311498.57,,,,32311498.57,,0,,3392805.33,,161682726.98,,,,165075532.31,,56321257.989999995,,77706414.16,,,,134027672.14999999,,4419137.25,,,,4419137.25,,3202361.9699999997,,,,3202361.9699999997,,37417089.050000004,,1722107.21,,,,39139196.260000005,,,840312140.97,,,,,
(=) COSTO MATERIALES,30540142.14999999,0.8819528371620016,23275137.799999975,0.602274532885909,14508011.090000004,0.854345928188388,5047505.079999999,0.8056171577847295,25811089.25999999,0.7778053002876072,,,99181885.38,0.764675245334718,0,,,,(=) COSTO MATERIALES,6744663.99,0.8854300012077365,7706361.110000003,0.674696437907542,,,14451025.1,0.75900807826268,60689161.05,0.3982779929498385,62134775.379999846,0.4077649649885114,,,122823936.42999981,0.8060429579383497,38826738.29000001,0.7277554445613568,44408690.34000015,0.8401906514460427,,,83235428.63000017,0.7837105775114145,8519864.529999997,0.6909201759013748,1376003.799999997,0.5720106643112295,,,1376003.799999997,0.5720106643112295,0,,3199539.83,0.4923998161139274,9316428.090000004,0.7484595105766492,,,12515967.919999987,0.6606363813933509,41085247.52000001,0.7089638243711734,15098678.889999986,,,,56183926.40999998,0.7098207821083812,10469420.740000006,0.5968054294363011,,,10469420.740000006,0.5968054294363011,5254044.9599999925,0.6537713116844883,,,5254044.9599999925,0.6537713116844883,9315378.829999998,0.9361986731986249,2670152.0199999986,,,,11985530.850000001,0.8914526320289696,,425997034.75,0.7618137385297304,,,,
