Unnamed: 0,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,Unnamed: 10,TOTAL,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
GUADALAJARA,,,,,,,,,,,,,,,,
TOTAL TRANSFERENCIAS,109871957.30999999,98383835.6374163,72109727.5625837,84664026.07,110817507.65537062,41330132.99462937,120836309.04,127035128.97121897,-19672609.77121898,,745376015.4699999,,,,,
,,,,,,,,,,,,,,,,
TOTAL RECEPCIONES,118916820.82999998,36735910.35,90856877.61000001,91632689.44,51525492.81999999,71725334.44,129666383.90999998,71595783.27,1650056.1700000002,,664305348.8399998,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
INVENTARIO FINAL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
GUADALAJARA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ALMACEN VALLARTA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
HACIENDA SAN JOSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PAPELCOR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
PUEBLA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LEON,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LERMA EDO MEXICO,722264.58,304692.31,362986.09,937997.87,765286.89,635498.35,758388.84,559629.97,0,,,,,,,
,,,,,,,,,,,,,,,,
MONTERREY TELAS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MONTERREY II,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MONTERREY 3 (Resortes),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
MONTERREY 4 (Mat Prima),98129517.57,133987275.24,193750218.49,197499747.01,194952230.85000002,184595395.58,175476672.56,176932656.24,0,,,,,,,
,,,,,,,,,,,,,,,,
YUCATAN,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TECATE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CIUDAD JUAREZ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
OCOTLAN,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,,TOTAL,,,,,
USD,20.4835,18,0,20.459935714285706,18,0,20.374246666666668,18,0,,,,,,,
GUADALAJARA,,,,,,,,,,,,,,,,
VENTAS,,,,,,,,,,,,,,,,
TRANSFERENCIAS,1535490.7779432223,946467.0717970332,,1321196.8921840629,913691.3367735677,,1649589.2707035057,906350.649412558,,,,,,,,
RECEPCIONES,311042.9277223131,0,,223176.90161713268,0,,252456.88707672464,0,,,,,,,,
,,,,,,,,,,,,,,,,
ALMACEN VALLARTA,,,,,,,,,,,,,,,,
VENTAS,1810073.033173042,3222663.0330428733,,1488819.4252111535,0,,1614574.2012915327,0,,,,,,,,
TRANSFERENCIAS,93613.51575658456,0,,85744.83295052948,0,,80987.34628061503,0,,,,,,,,
RECEPCIONES,900462.6636072933,0,,785835.7315743556,0,,840461.5458992838,0,,,,,,,,
,,,,,,,,,,,,,,,,
HACIENDA SAN JOSE,,,,,,,,,,,,,,,,
VENTAS,0,0,,0,0,,0,0,,,,,,,,
TRANSFERENCIAS,0,0,,0,0,,0,0,,,,,,,,
RECEPCIONES,0,0,,0,0,,0,0,,,,,,,,
,,,,,,,,,,,,,,,,
PUEBLA,,,,,,,,,,,,,,,,
VENTAS,574787.2551077697,970781.1122611432,,622072.4545636402,891969.5482568976,,632068.6251957945,842471.865708776,,,,,,,,
TRANSFERENCIAS,8745.723631215373,808.2429034926503,,5711.494485215184,745.4573655321279,,0,699.3962326444312,,,,,,,,
RECEPCIONES,18014.524861473863,0,,28202.687831374984,0,,27325.530563584023,0,,,,,,,,
,,,,,,,,,,,,,,,,
LEON,,,,,,,,,,,,,,,,
VENTAS,4426553.521395955,5926427.042192323,,3844470.3814528137,5403649.315141972,,4360562.883907401,5405524.057634774,,,,,,,,
TRANSFERENCIAS,237325.55373837473,323062.64241300407,,156504.57336306397,294498.80015482975,,146130.82185124562,294569.9822498709,,,,,,,,
RECEPCIONES,120993.83650255085,0,,101163.31834585438,0,,93853.41413032205,0,,,,,,,,
,,,,,,,,,,,,,,,,
MONTERREY TELAS,,,,,,,,,,,,,,,,
VENTAS,3475.4309566236234,0,,42557.638115746086,0,,4162.161251278983,0,,,,,,,,
TRANSFERENCIAS,165222.99558180972,123359.52221237736,,8876.784489268402,118578.69118722047,,95970.25460573267,105508.86482769146,,,,,,,,
