,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+) OTROS INGRESOS,50744.24,,734574,,173758.93,,17934.01,,885670.41,,,,1862681.5899999999,,0,,,,(+) OTROS INGRESOS,,,52000,,,,52000,0.002288304121933521,,,16379.15,,,,16379.15,0.00010466110877049782,,0,147404.16,0,0,,147404.16,,0,,47818.68,,0,,47818.68,,,,62067.03,,51185.35,,,,113252.38,0.006084047137467389,3014.45,,18173.32,,,,21187.77,0.0002786901360785976,,,,,0,0,7879.31,,,,7879.31,0.0009365291002137019,,,54687.03,,,,54687.03,0.0007193175984275055,,2323290.0699999994,,2323290.07,0,,
(+) TRANSFERENCIAS ENVIADAS,26974771.869999997,,11656311.3,,15029232.889999999,,5989368.4,,1650056.1700000002,,,,61299740.63,,0,,,,TRANSFERENCIAS ENVIADAS,9717507.260000031,,76822.87,,,,9794330.13000003,0.43100780784724524,62022662.26000001,,5614779.19,,,,67637441.45000002,0.43219639703871265,26875869.33999964,,1120991.2399999998,,,,27996860.579999637,,2452518.71,,1955321.6400000001,,,,1955321.6400000001,,0,,93713.42,,6546496.589999999,,0,,6640210.009999999,0.3567196619048782,7860693.519999998,,1737930.4900000002,,0,,9598624.009999998,0.12625405276318336,46863.68000000001,,,,46863.68000000001,0.0023171207191327,548982.7000000002,,,,548982.7000000002,0.06525168752897002,10415137.459999966,,17179.56,,0,,10432317.019999966,0.13721990799026326,,198403210.5599996,,,,,
VENTAS NETAS,35589177.04,,42640833.519999996,,15624176.969999999,,6174629.62,1,35431459.618750006,1,0,,135460276.76874998,1,0,1,,,VENTAS NETAS,9717507.260000031,1,13006744.95,1,0,,22724252.21000003,1,66819135.70000001,1,89677868.70224077,1,0,,156497004.40224078,1,52054155.239999644,1,60747072.29,1,0,,112801227.52999964,1,12615545.57,1,2087941.2200000002,1,0,,2087941.2200000002,1,0,1,6369795.669999999,1,12244849.719999999,1,0,,18614645.389999997,1,61317320.613400005,1,14708943.890000002,1,0,,76026264.5034,1,20224962.650000002,1,0,,20224962.650000002,1,8413310.380000003,1,0,,8413310.380000003,1,10415137.459999966,1,3374032.9000000004,1,0,,13789170.359999966,1,,579254600.9843905,1,378528100.35439074,200726500.62999976,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTARIO INICIAL,31924920.130000003,,20814244.55,,5704023.9,,4683043.9,,38551797.980000004,,,,101678030.46000001,,4644459.34,,,,INVENTARIO INICIAL,11039946.25,,1488904.58,,,,12528850.83,,90051654.88,,31029048.73,,,,121080703.61,,48556654.269999996,,140734600.48,,,,189291254.75,,16306806.73,,30568235.13,,,,30568235.13,,0,,2559394.18,,170278395.95000002,,,,172837790.13000003,,62970407.760000005,,85905132.71000001,,,,148875540.47000003,,3819104.21,,,,3819104.21,,3381967.63,,,,3381967.63,,38167922.78,,2169708.02,,,,40337630.800000004,,,845350374.09,,,,,
(+) COMPRAS,28821196.96,,1506461.91,,5879402.82,,4905368.12,,6004282.01,,,,47116711.81999999,,0,,,,(+) COMPRAS,8131576.9,,4594.2,,,,8136171.100000001,,62422668.78,,2194384.04,,,,64617052.82,,43394538.62,,5688619.88,,,,49083158.5,,4492713.25,,2333322.05,,,,2333322.05,,0,,606378.82,,2802941.07,,,,3409319.8899999997,,38456096.24,,798964.01,,,,39255060.25,,1411251.16,,,,1411251.16,,47243.51,,,,47243.51,,11428753.59,,424664.2,,,,11853417.79,,,231755422.14,,,,,
(+) TRANSFERENCIAS RECIBIDAS,977332.2300000001,,24282384.709999993,,5867843.7,,56604.01,,17123770.849999998,,,,48307935.49999999,,0,,,,(+) TRANSFERENCIAS RECIBIDAS,539997.3899999999,,9811069.840000032,,,,10351067.230000032,,4512589.259999998,,62059739.390000015,,,,66572328.65000001,,1755314.7800000003,,39861930.50999965,,,,41617245.28999965,,162947.84999999998,,1808.4,,,,1808.4,,0,,3392773.6200000034,,2009473.53,,,,5402247.150000003,,711581.6600000001,,8130325.369999997,,,,8841907.029999997,,10265966.469999967,,,,10265966.469999967,,5277514.84,,,,5277514.84,,46855.34000000001,,1555386.81,,,,1602242.1500000001,,,198403210.55999967,,0,,,
(=) MATERIAL DISPONIBLE,61723449.32,,46603091.169999994,,17451270.42,,9645016.03,,61679850.84,,,,197102677.78,,4644459.34,,,,(=) MATERIAL DISPONIBLE,19711520.54,,11304568.62000003,,,,31016089.160000034,,156986912.92,,95283172.16000001,,,,252270085.08,,93706507.66999999,,186285150.86999965,,,,279991658.53999966,,20962467.830000002,,32903365.58,,,,32903365.58,,0,,6558546.620000003,,175090810.55,,,,181649357.17000002,,102138085.66,,94834422.09,,,,196972507.75000003,,15496321.839999966,,,,15496321.839999966,,8706725.98,,,,8706725.98,,49643531.71000001,,4149759.0300000003,,,,53793290.74,,,1275509006.7899997,,,,,
(--) INVENTARIO FINAL,32182574.830000002,,19837505.89,,4251752.04,,5010311.29,,36236862.87,,,,97519006.91999999,,4644459.34,,,,(--) INVENTARIO FINAL,11365667.5,,1416305.52,,,,12781973.02,,98110093.00999999,,28965951.63,,,,127076044.63999999,,58733176.879999995,,143537528.96,,,,202270705.84,,13103933.65,,31567648.57,,,,31567648.57,,0,,3530940.42,,165256184.8,,,,168787125.22,,59199688.68,,84963863.66,,,,144163552.34,,4016537.5,,,,4016537.5,,3226665.2199999997,,,,3226665.2199999997,,40586764.59,,2276572.88,,,,42863337.470000006,,,852020989.73,,,,,
(=) COSTO MATERIALES,29540874.49,0.8300521941487411,26765585.279999994,0.6276984540521711,13199518.380000003,0.8448136759679831,4634704.739999999,0.7506044937477561,25442987.970000006,0.7180903141945586,,,99583670.86000001,0.7351503572519902,0,,,,(=) COSTO MATERIALES,8345853.039999999,0.8588471113732898,9888263.100000031,0.7602411777898384,,,18234116.140000034,0.8024077523649351,58876819.91,0.37621691312806355,66317220.530000016,0.4237603191403353,,,125194040.44000003,0.7999772322683989,34973330.78999999,0.6718643426015232,42747621.90999964,0.7036984713588679,,,77720952.69999966,0.689008040088302,7858534.180000002,0.6229246397942345,1335717.009999998,0.639729220921266,,,1335717.009999998,0.639729220921266,0,,3027606.200000003,0.47530664354889796,9834625.75,0.8031642670090687,,,12862231.950000018,0.6909737833045027,42938396.98,0.70026538261061,9870558.430000007,,,,52808955.410000026,0.6946146276546092,11479784.339999966,0.5676047238584129,,,11479784.339999966,0.5676047238584129,5480060.760000001,0.651356067051457,,,5480060.760000001,0.651356067051457,9056767.120000005,0.8695773008069386,1873186.1500000004,,,,10929953.269999996,0.7926476346761172,,423488017.0599997,0.7310913307211032,,,,
(+) VARIACION EN COMPRAS,1338559.75,,-26120.3,,-83133.98,,135402.7,,-79008.4,,,,1285699.77,,0,,,,(+) VARIACIONES STD,132296.59,,3569.34,,,,135865.93,,2490958.51,,40315.35,,,,2531273.86,,2592551.72,,-131599.41,,,,2460952.31,,61,,-418627.74,,,,-418627.74,,0,,64842.33,,-141045.99,,,,-76203.65999999999,,3245776.77,,-1721.06,,,,3244055.71,,4993.46,,,,4993.46,,1535.24,,,,1535.24,,130179.26,,563677.67,,,,693856.93,,,9863462.81,0.017027854061474768,,,,
(+) VARIACIONES STD,0,,0,,0,,0,,4513.68,,,,4513.68,,0,,,,(+) VARIACIONES STD,0,,0,,,,0,,0,,-724.41,,,,-724.41,,0,,295.1,,,,295.1,,-1421.75,,0,,,,0,,0,,0,,3819.11,,,,3819.11,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,0,,,,0,,,6481.7300000000005,1.1189777325868262e-05,,,,
