UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.419952812634165,Unnamed: 122,Unnamed: 123,19.722482439455383,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,17.795905103909046,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156
TRADICIONAL,39654827.42000002,0.44227758058911887,,44363585.72489823,0.4502800020128531,,-4708758.30489821,-0.10614016491132068,,29936948.730000015,0.4580765640548685,,40727502.45081324,0.43115563607093826,,-10790553.720813226,-0.2649451371059401,,33393314.979999997,0.4618852826052133,,38403153.818386585,0.4042634284079903,,-5009838.838386588,-0.13045383881956038,,102985091.13000003,0.4530562272125396,,30778360.329999965,0.4334469940579002,,43844040.68161239,0.4375355369540242,,-13065680.351612423,-0.2980035632776884,,33820626.13999998,0.5116578459263642,,43804668.85914321,0.42837700466112205,,-9984042.719143234,-0.2279218854786365,,31936195.140000034,0.4656807862637739,,41142798.54359149,0.4192236856480928,,-9206603.403591458,-0.22377192921956696,,96535181.60999998,0.4693281484310682,,33049287.290000014,0.4332525799485424,,50999194.2358651,0.46734594005102964,,-17949906.945865087,-0.3519645205147544,,33357351.23,0.46510517117555955,,44753395.928397045,0.43175088464677674,,-11396044.698397044,-0.25464089287503644,,29956623.819999997,0.44280707005871167,,41550302.22382805,0.3973025762924306,,-11593678.403828051,-0.2790275348991173,,96363262.34,0.4468431124355811,,38109396.089999996,0.5112728427450182,,45682067.099827595,0.42278814454296354,,-7572671.009827599,-0.16576900938565844,,0,,,0,,,0,,,0,,,0,,,0,,,38109396.089999996,0.5112728427450182,,333992931.17,0.4618318060876997,,435270709.5663629,0.429262367969615,,-101277778.3963629,-0.2326776789029994,,415923388.66999996,0.44533666515190895,,341528392.1399999,0.44060418967490056,,,38109396.089999996,0.5112728427450182,,7485399.780000001,1,,30301463.810000006,0.9575207882399036,,148851.62,0.7101281346317684,,168108.33,0.7719022494164873,,5572.55,0.00015930798219180702,,|,
AUTOMOTRIZ,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,
EMPAQUE,40444757.665,0.4510878178369692,,45632118.35061404,0.4631553109836542,,-5187360.685614042,-0.11367784080846291,,31134005.4,0.4763931804648454,,45287712.473179735,0.47943161997604106,,-14153707.073179737,-0.3125286374656666,,37344738.07875001,0.5165400593397786,,48245184.75533527,0.5078688038384694,,-10900446.676585265,-0.22593854147029296,,108923501.14375001,0.479180723554195,,37091173.0115,0.5223493803939168,,47852030.86043373,0.4775327203279668,,-10760857.848933727,-0.224877767054842,,30848136.71075,0.4666883195753972,,49779003.56798884,0.48680154419246197,,-18930866.857238844,-0.38029822817531506,,34949031.992249995,0.5096127646378337,,48643282.57653576,0.4956497109002167,,-13694250.584285766,-0.28152398150225805,,102888341.7145,0.5002155080320185,,40979692.33,0.5372145326971131,,49652218.20991352,0.4550025337187028,,-8672525.879913524,-0.17466542669350418,,36576230.13,0.5099863492839539,,50248388.63090219,0.48476290554972673,,-13672158.50090219,-0.2720914814071066,,35889417.79000001,0.5305033048181098,,54530965.75610357,0.5214232393763374,,-18641547.96610356,-0.34185251824587465,,113445340.25000001,0.526053889186163,,33342035.229999997,0.44731428161937703,,53946178.96587435,0.4992726108545719,,-20604143.735874355,-0.38193889040608914,,0,,,0,,,0,,,0,,,0,,,0,,,33342035.229999997,0.44731428161937703,,358599218.33825004,0.4958563766204255,,493817084.146881,0.4870005865910947,,-135217865.80863094,-0.27382176548677634,,431127878.09999996,0.4616163858950624,,362568548.59,0.4677479976177707,,,33342035.229999997,0.44731428161937703,,0,0,,400919.62000000005,0.012668987642654832,,60760.72000000001,0.28987186536823173,,49676.15,0.22809775058351267,,32830678.74,0.9385629889470452,,,
PROD HOGAR,9560911.31,0.10663460157391201,,8528737.442172285,0.08656468700349271,,1032173.8678277154,0.12102305585395284,,4282637.5600000005,0.06553025548028606,,8446040,0.0894127439530207,,-4163402.4399999995,-0.4929413595010205,,1559801.4899999998,0.021574658055008192,,8347031.07824032,0.08786776775354027,,-6787229.58824032,-0.813130983294622,,15403350.360000001,0.06776304923326538,,3138826.9699999997,0.04420362554818295,,8510739.05633387,0.08493174271800903,,-5371912.08633387,-0.631192197384548,,1431320.26,0.021653834498238655,,8673611.186389515,0.0848214511464159,,-7242290.926389515,-0.8349798913921801,,1694358.03,0.024706449098392445,,8354362.638405551,0.08512660345169044,,-6660004.608405551,-0.7971888337464638,,6264505.26,0.030456343536913427,,2252821.85,0.029532887354344756,,8473734.186064351,0.0776515262302676,,-6220912.336064352,-0.7341406043034814,,1786436.6,0.024908479540486722,,8653812.961967258,0.08348620980349661,,-6867376.361967258,-0.7935665344454254,,1805596.87,0.02668962512317854,,8499735.77687605,0.08127418433123196,,-6694138.906876049,-0.7875702354287041,,5844855.32,0.027102998378255867,,3086844.34,0.04141287563560469,,8421300,0.0779392446024645,,-5334455.66,-0.6334480020899387,,0,,,0,,,0,,,0,,,0,,,0,,,3086844.34,0.04141287563560469,,30599555.28000001,0.04231181729187496,,84909104.3264492,0.08373704543929031,,-54309549.04644919,-0.6396198555769215,,86901450.83999999,0.09304694895302858,,71039565.33,0.09164781270732865,,,3086844.34,,,0,,,943366.91,,,0,,,0,,,2143477.4299999997,,,,
OTROS INGRESOS,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,,
TOTAL VENTAS,89660496.39500001,,,98524441.51768455,1,,-8863945.122684537,-0.08996696643130439,,65353591.69000001,,,94461254.92399298,1,,-29107663.233992964,-0.3081439396228016,,72297854.54875,,,94995369.65196218,1,,-22697515.10321217,-0.2389328573210447,,227311942.63375005,,,71008360.31149997,,,100206810.59837998,1,,-29198450.28688002,-0.2913818942297726,,66100083.110749975,,,102257283.61352158,1,,-36157200.50277159,-0.35359046539341576,,68579585.16225003,,,98140443.7585328,1,,-29560858.596282773,-0.30120975068153405,,205688028.58449996,,,76281801.47,,,109125146.63184297,1,,-32843345.161842965,-0.30096953979495694,,71720017.96,,,103655597.52126649,1,,-31935579.561266493,-0.30809315005602506,,67651638.48,,,104581003.75680767,1,,-36929365.27680766,-0.3531173344126921,,215653457.91000003,,,74538275.66,,,108049546.06570195,1,,-33511270.405701954,-0.31014725767866413,,0,,,0,,,0,,,0,,,0,,,0,,,74538275.66,,,723191704.78825,1,,1013996898.0396931,,,-290805193.251443,-0.28679100874336155,,933952717.61,1,,775136506.06,1,,,74538275.66,1,,7485399.780000001,1,,31645750.340000007,1,,209612.34,1,,217784.47999999998,1,,34979728.72,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,13007598.380000003,0.12669562446353483,,17036407.292346597,,,-4028808.912346594,-0.23648230775490373,,10953454.929999992,0.143544474792045,,16446444.06192422,,,-5492989.131924227,-0.3339925099457367,,16485367.850000005,0.1856811163708348,,16314311.689426042,,,171056.16057396308,0.010485036931397566,,40446421.16,0.15105567791396882,,11942326.589999994,0.14396898972254377,,17255704.56562812,0.14690392540577463,,-5313377.975628125,-0.3079200826265835,,14355748.979999993,0.17843018469820138,,17556820.675931614,0.14653383906720135,,-3201071.695931621,-0.18232638784765415,,11609243.18,0.14477382223931687,,17065012.28837121,0.1481267717166405,,-5455769.108371209,-0.3197049621868126,,37907318.749999985,0.15561593915809263,,12592152.079999998,0.14168551726367976,,19102291.889523998,0.14897195256958143,,-6510139.809524,-0.3408041216820828,,10695077.200000003,0.1297708530122627,,17898669.22964358,0.14724838303143786,,-7203592.029643577,-0.4024652300805172,,11379670.379999995,0.1439893953946595,,17907316.084081195,0.14619611165654509,,-6527645.7040812,-0.3645239562105002,,34666899.66,0.13849013318984926,,16336762.750000011,0.17977172869290686,,18750908.416880637,0.1478772966027206,,-2414145.666880626,-0.1287481978583648,,,,,,,,0,,,,,,,,,0,,,16336762.750000011,0.17977172869290686,,129357402.32000001,0.15173014814215882,,175333886.1937572,0.14742230548313245,,-45976483.8737572,-0.2622224652167334,,166465895.1,0.15001034262894822,,143460654.57999998,0.15466688014094213,,,16336762.750000011,,,33684532.3900001,,,8880670.43,,,16738264.860000016,,,8447305.600000001,,,4592788.880000001,,-56006799.41000011,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,-1637339.89,,,-1637339.89,,,,0,,,0,,,0,,,0,,,0,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
