UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.428617145093387,Unnamed: 122,Unnamed: 123,18.5,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,17.5670583816338,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
TRADICIONAL,71188.98999999999,1,,0,0,,71188.98999999999,,,52206.8,0.059957745172209864,,0,0,,52206.8,,,84800.9,1,,0,0,,84800.9,,,208196.69,0.2027791549025859,,9797.7,0.007411196521668751,,0,0,,9797.7,,,56176.56,0.45994876554571373,,0,0,,56176.56,,,7700,0.010843570344395457,,0,0,,7700,,,73674.26,0.03419952529792959,,143340.6,1,,0,0,,143340.6,,,79972.7,0.06884112042840818,,0,0,,79972.7,,,16542.25,0.1589362023276663,,0,0,,16542.25,,,239855.55,0.17021640380638925,,15631,0.030317647718282315,,0,0,,15631,,,,,,,,,,,,,,,,,,0,,,15631,0.030317647718282315,,537357.5,0.1052474116960393,,0,,,537357.5,,,748931.362767947,0.09254678187788688,,697522.8,0.09545395847387672
AUTOMOTRIZ,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,0,,,0,,,0,0,,0,0
EMPAQUE,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,0,,,0,,,0,0,,0,0
PROD HOGAR,0,0,,0,0,,0,,,818519.74,0.9400422548277901,,0,0,,818519.74,,,0,0,,0,0,,0,,,818519.74,0.7972208450974141,,1312215.55,0.9925888034783313,,0,0,,1312215.55,,,65960,0.5400512344542863,,0,0,,65960,,,702398.22,0.9891564296556046,,0,0,,702398.22,,,2080573.77,0.9658004747020703,,0,0,,0,0,,0,,,1081726.87,0.9311588795715918,,0,0,,1081726.87,,,87538.81999999999,0.8410637976723336,,0,0,,87538.81999999999,,,1169265.6900000002,0.8297835961936108,,499943.29999999993,0.9696823522817177,,0,0,,499943.29999999993,,,,,,,,,,,,,,,,,,0,,,499943.29999999993,0.9696823522817177,,4568302.5,0.8947525883039606,,0,,,4568302.5,,,7343531.147232053,0.9074532181221131,,6609903.85,0.9045460415261233
OTROS INGRESOS,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,0,,,0,,,,,,0,
TOTAL VENTAS,71188.98999999999,,,0,,,71188.98999999999,,,870726.54,,,0,,,870726.54,,,84800.9,,,0,,,84800.9,,,1026716.43,,,1322013.25,,,0,,,1322013.25,,,122136.56,,,0,,,122136.56,,,710098.22,,,0,,,710098.22,,,2154248.0300000003,,,143340.6,,,0,,,143340.6,,,1161699.57,,,0,,,1161699.57,,,104081.06999999999,,,0,,,104081.06999999999,,,1409121.2400000002,,,515574.29999999993,,,0,,,515574.29999999993,,,,,,,,,,,,,,,,,,0,,,515574.29999999993,,,5105660,1,,0,,,5105660,,,8092462.51,1,,7307426.649999999,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,3384345.2299999995,0.9793985573669126,,2220471.3998227925,1,,1163873.830177207,0.5241561905593972,,181618.44,0.17258450741124837,,2134416.4413699685,1,,-1952798.0013699685,-0.9149095572542401,,1955321.6400000001,0.9584334282194638,,1899159.5668984463,1,,56162.07310155383,0.02957206655008625,,5521285.31,0.8432015642683686,,1104662.9500000002,0.455216460275994,,3205789.2021933976,1,,-2101126.2521933974,-0.6554162234858765,,1731186.24,0.934098603869763,,2085587.7605529816,1,,-354401.52055298164,-0.1699288456022652,,2597237.84,0.7852960185727241,,2668131.8607866415,1,,-70894.02078664163,-0.026570658605208533,,5433087.03,0.7160731649565507,,668155.6300000001,0.8233625805014523,,3266052.5060956506,1,,-2597896.8760956507,-0.7954241002699813,,1236130.8599999999,0.5155205491324089,,2050175.134293953,1,,-814044.2742939531,-0.39706084649899764,,1418723.1999999997,0.9316517085941715,,2022750.2448024543,1,,-604027.0448024545,-0.2986167206527492,,3323009.6899999995,0.7022226855417967,,5282591.959999998,0.9110797661052238,,2052329.2919483643,1,,3230262.668051634,1.573949502511367,,,,,,,,,,,,,,,,,0,,,5282591.959999998,0.9110797661052238,,19559973.99,0.7930051178870996,,23604863.408764645,1,,-4044889.418764647,-0.1713583064947011,,37031741.625997424,0.8205915654287885,,37521285.4,0.8370064487828551
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,3900.0100000000093,8.642086951808978e-05,,3900.0100000000093,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
