UREBLOCK SA DE CV,20.56437096774193,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285702,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.649670354532628,Unnamed: 122,Unnamed: 123,19.88777601593933,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145
TRADICIONAL,4815402.8999999985,0.4872544757477447,,5119400.498991898,0.7742159837410241,,-303997.59899189975,-0.05938148403348446,,5965702.1899999995,0.7667251673586201,,4685003.513742621,0.7372005217983316,,1280698.6762573784,0.27336130538657605,,6222252.989999998,0.5245895784594167,,4390007.630321678,0.7768951013678053,,1832245.3596783206,0.4173672380482999,,17003358.08,0.5759034698729898,,6501470.569999998,1.0013226359074074,,4982824.877634389,0.5226812066555354,,1518645.692365609,0.30477605166942784,,6061750.509999999,0.97711425722183,,4940096.920153556,0.7954554898102474,,1121653.5898464425,0.22705092794243747,,5142722.55,0.6972269075439607,,4593238.001445019,0.5769812862494779,,549484.5485549811,0.1196290173472646,,17705943.629999995,0.8820961819187152,,4861312.039999999,0.9801259625177839,,5698121.489417132,0.5823241687823276,,-836809.4494171329,-0.14685707403243364,,3978659.769999999,1.0124022810847184,,4922914.029773359,0.8021797839202752,,-944254.2597733601,-0.1918079930022324,,4026379.3900000015,0.8888186110404354,,4487848.133604334,0.7411669461385187,,-461468.7436043322,-0.10282628330244142,,12866351.2,0.9587559493771153,,4579795.720000001,1,,4916125.928390374,0.8081229210484029,,-336330.20839037374,-0.06841366826022174,,0,,,0,,,0,,,0,,,0,,,0,,,4579795.720000001,1,,52155448.62999999,0.7715659225323451,,48735581.023474365,0.6924322991233417,,3419867.6065256223,0.0701718854009021,,49291514.67000001,0.5861066123067082,,39341235.440000005,0.5830356138448773,,,4579795.720000001,1,,4009377.9800000004,1,,570417.74,1,
AUTOMOTRIZ,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,,0,0,,0,0,,0,0,
EMPAQUE,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,,0,0,,0,0,,0,0,
PROD HOGAR,5067323.97,0.5127455242522554,,1492966.859086752,0.22578401625897598,,3574357.110913248,2.394130244190204,,1815054.78,0.23327483264137988,,1670124.2638585041,0.2627994782016684,,144930.5161414959,0.08677828307617155,,5638930.01,0.47541042154058333,,1260700.7118890134,0.22310489863219474,,4378229.298110986,3.4728538318588864,,12521308.76,0.42409653012701026,,-8587.720000000001,-0.0013226359074074473,,4550375.884485682,0.4773187933444645,,-4558963.604485681,-1.0018872550791418,,141976.90999999997,0.022885742778169967,,1270303.2636857633,0.20454451018975264,,-1128326.3536857634,-0.8882338461541409,,2233244.29,0.3027730924560393,,3367571.319256196,0.42301871375052214,,-1134327.0292561958,-0.3368383091903567,,2366633.48,0.11790381808128475,,98572.94,0.019874037482215973,,4087015.0288424874,0.41767583121767243,,-3988442.0888424874,-0.975881434419898,,-48739.97,-0.012402281084718324,,1214007.0550674233,0.19782021607972491,,-1262747.0250674232,-1.0401480121524442,,503655.58,0.11118138895956466,,1567262.8734178108,0.25883305386148125,,-1063607.2934178107,-0.6786400108479234,,553488.55,0.04124405062288468,,0,0,,1167262.8734178105,0.19187707895159706,,-1167262.8734178105,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,15441430.789999997,0.2284340774676548,,21647590.13300744,0.3075677008766583,,-6206159.3430074435,-0.2866905417589426,,34808397.59,0.4138933876932917,,28135320.890000004,0.41696438615512255,,,0,,,0,,,0,,
OTROS INGRESOS,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,,0,0,,0,0,,0,0,
TOTAL VENTAS,9882726.869999997,,,6612367.35807865,,,3270359.511921348,0.49458224790336097,,7780756.97,,,6355127.777601125,,,1425629.1923988743,0.22432738448211162,,11861182.999999998,,,5650708.342210691,,,6210474.657789307,1.0990612648324407,,29524666.839999996,,,6492882.849999999,,,9533200.762120072,,,-3040317.912120072,-0.3189189012152873,,6203727.419999999,,,6210400.183839319,,,-6672.763839320978,-0.0010744498972359497,,7375966.84,,,7960809.3207012145,,,-584842.4807012146,-0.07346520399381953,,20072577.109999996,,,4959884.9799999995,,,9785136.518259618,,,-4825251.53825962,-0.49312051285696695,,3929919.799999999,,,6136921.084840782,,,-2207001.284840783,-0.35962679889960525,,4530034.970000002,,,6055111.007022144,,,-1525076.037022143,-0.25186590885840143,,13419839.75,,,4579795.720000001,,,6083388.801808185,,,-1503593.0818081843,-0.24716373238568387,,0,,,0,,,0,,,0,,,0,,,0,,,4579795.720000001,,,67596879.41999999,1,,70383171.1564818,,,-2786291.736481821,-0.0395874708499152,,84099912.26000002,1,,67476556.33000001,1,,,4579795.720000001,1,,4009377.9800000004,1,,570417.74,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,11988433.809999995,0.5481388932852922,,28117612.751723997,0.8096063591982222,,-16129178.941724002,-0.5736325869533523,,8790161.140000006,0.5304570984932592,,27027907.206615284,0.8096300177438677,,-18237746.066615276,-0.6747746293191154,,6631607.379999999,0.3586050154535954,,24048872.352079842,0.809737773729008,,-17417264.972079843,-0.724244559873242,,27410202.33,0.4814308477315853,,12362417.669999992,0.655646811722097,,40594595.975487836,0.8098220671452755,,-28232178.30548784,-0.6954664192873167,,7926260.220000002,0.560953089411195,,26409594.38416725,0.8096136965660188,,-18483334.164167248,-0.6998719440859018,,6742914.719999999,0.47758136445476346,,33786293.5042184,0.809308699717738,,-27043378.7842184,-0.8004245502940975,,27031592.609999992,0.5738683596523012,,10295449.549999995,0.6748753709565489,,41357704.31473429,0.8086704539895854,,-31062254.76473429,-0.7510633213185363,,6744919.460000001,0.6318520865484208,,25961167.751987994,0.8088072746001193,,-19216248.291987993,-0.7401919850279653,,6256347.6,0.5800227795925469,,25613889.05137409,0.8088000569687458,,-19357541.45137409,-0.7557439408185315,,23296716.609999996,0.634501677705812,,9615728.489999998,0.6773774851672067,,25988445.640249796,0.8103198988259112,,-16372717.150249798,-0.6299998613573269,,,,,0,,,0,,,,,,0,,,0,,,9615728.489999998,0.6773774851672067,,87354240.03999998,0.5637535265600332,,298906082.93263876,0.8094091003809815,,-211551842.8926388,-0.7077535552875114,,361466971.72,0.810200520019012,,333181296.44000006,0.8305416910367647,,,9615728.489999998,,,31250.92000000001,,,9592353.589999998,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,-2468134.3499999996,,,-2468134.3499999996,,,,0,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
