,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(=) COSTO MATERIALES,24981019.78999999,0.8099051954603249,24578088.36999996,0.6370214602679148,14991454.700000001,0.9073364829642109,4377915.339999998,0.7459983528624016,23537848.349999994,0.7173336940012942,,,92466326.54999998,0.7419196355416693,0,,,,(=) COSTO MATERIALES,7964186.310000002,0.8611425931223616,9681481.909999944,0.7467491180738717,,,17645668.219999947,0.7943764024233241,52572067.23000002,0.37827378568126446,53135680.3700003,0.382329172645503,,,105707747.6000003,0.7606029583267674,33853698.64,0.6736175231362659,53187109.08000067,0.786788019129288,,,87040807.72000068,0.7385298221834952,6110183.949999999,0.6523943825606141,528245.8999999985,0.4784787682762178,,,528245.8999999985,0.4784787682762178,0,,3162986.4599999995,0.5284646311669072,8519198.319999963,0.7992552649203558,,,11682184.779999971,0.7018789782907019,34785889.67999999,0.6369378444944992,8203311.169999987,,,,42989200.849999964,0.6167188358693872,11149158.510000005,0.5893325573572354,,,11149158.510000005,0.5893325573572354,5375474.539999991,0.6755783491138365,,,5375474.539999991,0.6755783491138365,8815127,0.8429380629940096,2369407.9899999998,,,,11184534.990000002,0.8270353903593127,,391879533.61000097,0.7244964005087655,,,,
(+) VARIACION EN COMPRAS,1000663.26,,-10902.23,,350111.64,,208492.93,,177431.82,,,,1725797.42,,0,,,,(+) VARIACIONES STD,236861.3,,1278.66,,,,238139.96,,1477749.1,,53169.47,,,,1530918.57,,527810.53,,-144860.09,,,,382950.44000000006,,-228629.68,,-46116.38,,,,-46116.38,,0,,78891.56,,-539997.8,,,,-461106.24000000005,,1482084.37,,-1371.15,,,,1480713.2200000002,,48.64,,,,48.64,,0,,,,0,,260400.83,,628.8,,,,261029.62999999998,,,4883745.58,0.009028938207402968,,,,
(+) VARIACIONES STD,0,,390.76,,0,,0,,0,,,,390.76,,0,,,,(+) VARIACIONES STD,0,,0,,,,0,,0,,0,,,,0,,0,,-1249.06,,,,-1249.06,,0,,0,,,,0,,0,,0,,168.53,,,,168.53,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,0,,,,0,,,-689.77,-1.2752283273774358e-06,,,,
(=) COSTO TOTAL MATERIALES,25981683.049999993,0.8423475208735048,24567576.89999996,0.6367490211803764,15341566.340000002,0.9285264922354547,4586408.269999998,0.7815256233288642,23715280.169999994,0.7227410626350534,0,,94192514.72999999,0.7557700063000385,0,,,,(=) COSTO TOTAL MATERIALES,8201047.610000002,0.8867536657609089,9682760.569999944,0.7468477432880892,,,17883808.179999948,0.8050970372181925,54049816.33000002,0.3889066897270292,53188849.8400003,0.38271174494595245,,,107238666.1700003,0.7716184346729815,34381509.17,0.6841198444833269,53040999.93000066,0.7846266508824774,,,87422509.10000068,0.7417685082628502,5881554.27,0.6279832158692037,482129.5199999985,0.4367071071998932,,,482129.5199999985,0.4367071071998932,0,,3241878.0199999996,0.5416456547611662,7979369.0499999635,0.7486094916915886,,,11221247.06999997,0.6741853152436723,36267974.04999999,0.664075158867388,8201940.0199999865,0.5434606193870472,,,44469914.06999996,0.6379610016979901,11149207.150000006,0.5893351284154515,,,11149207.150000006,0.5893351284154515,5375474.539999991,0.6755783491138365,,,5375474.539999991,0.6755783491138365,9075527.83,0.8678386425593673,2370036.7899999996,0.7729995406138302,,,11445564.620000003,0.8463371085027505,,396762589.420001,0.733524063487841,214263309.79000014,243608655.77000007,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANO DE OBRA,216891.71,,3718658.05,,1526517.8,,958624.54,,92890.43,,0,,6513582.529999999,,10799.3,,,,MANO DE OBRA DIRECTA,100198.58,,435841.33,,0,,536039.91,,275863.2,,2222548.48,,0,,2498411.68,,613055.64,,3085472.05,,0,,3698527.69,,500977.98,,140708.43,,0,,140708.43,,0,,134317.37,,2274551.26,,0,,2408868.63,,496265.8,,1147443.98,,0,,1643709.78,,1415275.89,,0,,1415275.89,,271584.81,,0,,271584.81,,360864.65,,0,,0,,360864.65,,,19988551.979999997,,,,,
IMPUESTOS S NOMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
MANO DE OBRA INDIRECTA,591501.96,,1742569.85,,438395.46,,335048.35,,784083.04,,0,,3891598.66,,0,,,,MANO DE OBRA INDIRECTA,142467.59,,274123.94,,0,,416591.53,,276198.49,,2252732.16,,0,,2528930.6500000004,,458263.98,,2400731.95,,0,,2858995.93,,708099.21,,261302.59,,0,,261302.59,,0,,29628.61,,1139461.77,,0,,1169090.3800000001,,561587.78,,941835.72,,0,,1503423.5,,731890.54,,0,,731890.54,,177446.68,,0,,177446.68,,375876.81,,0,,0,,375876.81,,,14623246.480000002,,,,,
IMPUESTOS S NOMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
COMBUSTIBLE,0,,82731.54,,0,,0,,0,,0,,82731.54,,0,,,,COMBUSTIBLE,0,,0,,0,,0,,8504.92,,0,,0,,8504.92,,0,,0,,0,,0,,1519.13,,139523.02,,0,,139523.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,232278.61,,,,,
