UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.426630343511174,Unnamed: 122,Unnamed: 123,17.999414480557512,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
TRADICIONAL,7823602.080000002,0.6703214673470449,,17504571,0.10179600791820119,,-9680968.919999998,-0.5530537663562276,,7992993.769999999,0.5692043812195997,,,,,7992993.769999999,,,8126979.790000003,0.6274284048753578,,,,,8126979.790000003,,,23943575.640000004,0.6192305926007422,,8670543.31,0.6496767025789165,,,,,8670543.31,,,7197917.370000001,0.5783509038912047,,,,,7197917.370000001,,,6264731.409999999,0.538277149698457,,,,,6264731.409999999,,,22133192.090000004,0.5913220904525441,,8733201.729999999,0.6866404426133799,,,,,8733201.729999999,,,7885844.63,0.6658340523331661,,,,,7885844.63,,,6285187.25,0.6001178890502409,,,,,6285187.25,,,22904233.61,0.6537425920130131,,9102887.700000001,0.6636607530672829,,,,,9102887.700000001,,,,,,,,,,,,,,,,,,,,,9102887.700000001,0.6636607530672829,,78083889.04,0.6254296580762607,,17504571,0.10179931923470513,,60579318.04000001,-1.28609351249857,,,,,
AUTOMOTRIZ,0,0,,0,0,,0,,,276660,0.01970176490056422,,,,,276660,,,0,0,,,,,0,,,276660,0.007155002173640315,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,276660,0.0022159676129187107,,0,0,,276660,-0.005873467095369341,,,,,
EMPAQUE,2069805.5200000003,0.17733967795169525,,4917838.803835488,0.02859917891250659,,-2848033.2838354874,-0.5791229435202855,,2722729.79,0.19389352349578037,,,,,2722729.79,,,3082520.4499999997,0.2379802754424186,,,,,3082520.4499999997,,,7875055.760000001,0.20366529704452646,,2045897.92,0.1532974540298633,,,,,2045897.92,,,2902420.35,0.23320876673174792,,,,,2902420.35,,,2911953.9699999997,0.2502003965441682,,,,,2911953.9699999997,,,7860272.24,0.2099991991025503,,2906373.2800000003,0.22851108872517722,,,,,2906373.2800000003,,,2383613.88,0.20125824986206722,,,,,2383613.88,,,2294273.78,0.21906025755349082,,,,,2294273.78,,,7584260.94,0.2164732725767309,,2144175.7399999998,0.15632460085352898,,,,,2144175.7399999998,,,,,,,,,,,,,,,,,,,,,2144175.7399999998,0.15632460085352898,,25463764.68,0.20395748512203923,,4917838.803835488,0.028600109213557375,,20545925.87616451,-0.43618817168202756,,,,,
PROD HOGAR,1778010.46,0.1523388547012598,,149529339.30012506,0.8695722852847364,,-147751328.84012505,-0.9881092869912886,,3050013.2199999997,0.21720033038405573,,,,,3050013.2199999997,,,1743339.84,0.13459131968222368,,,,,1743339.84,,,6571363.52,0.16994910818109113,,2629494.1799999997,0.19702584339122017,,,,,2629494.1799999997,,,2345250.8000000003,0.1884403293770474,,,,,2345250.8000000003,,,2461801.25,0.21152245375737483,,,,,2461801.25,,,7436546.23,0.19867871044490562,,1079165.6699999997,0.08484846866144297,,,,,1079165.6699999997,,,1574100.11,0.13290769780476674,,,,,1574100.11,,,1893793.25,0.18082185339626836,,,,,1893793.25,,,4547059.03,0.12978413541025602,,2469112.5700000003,0.18001464607918807,,,,,2469112.5700000003,,,,,,,,,,,,,,,,,,,,,2469112.5700000003,0.18001464607918807,,21024081.35,0.16839688918878148,,149529339.30012506,0.8696005715517375,,-128505257.95012507,2.728155151275967,,,,,
OTROS INGRESOS,,0,,5593.40858578343,3.2527884555876546e-05,,-5593.40858578343,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,0,,0,0,,,,,
TOTAL VENTAS,11671418.060000002,,,171957342.51254633,,,-160285924.45254633,-0.9321260849379058,,14042396.779999997,,,,,,14042396.779999997,,,12952840.080000002,,,,,,12952840.080000002,,,38666654.92,,,13345935.41,,,,,,13345935.41,,,12445588.520000001,,,,,,12445588.520000001,,,11638486.629999999,,,,,,11638486.629999999,,,37430010.56,,,12718740.679999998,,,,,,12718740.679999998,,,11843558.62,,,,,,11843558.62,,,10473254.28,,,,,,10473254.28,,,35035553.58,,,13716176.010000002,,,,,,13716176.010000002,,,,,,,,,,,,,,,,,,,,,13716176.010000002,,,124848395.07,,,171951749.10396054,,,-47103354.03396055,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,2629707.62,0.1838811628428399,,0,0,,2629707.62,,,999999.1599999997,0.06647871549111742,,,,,999999.1599999997,,,1737930.4900000002,0.11830083940927,,,,,1737930.4900000002,,,5367637.27,0.1218967537127568,,7819266.999999999,0.3694397458871266,,,,,7819266.999999999,,,689727.8400000001,0.05250941972744386,,,,,689727.8400000001,,,638304.2600000001,0.05199276144060805,,,,,638304.2600000001,,,9147299.1,0.19638959756955615,,1955216.23,0.13324396698122784,,,,,1955216.23,,,146522.16,0.012220281304893763,,,,,146522.16,,,273899.61,0.02548578096149324,,,,,273899.61,,,2375638,0.06350073065488816,,1062708.57,0.0719072244084066,,,,,1062708.57,,,,,,,,,,,,,,,,,,,,,1062708.57,0.0719072244084066,,17953282.94,0.1257217925600481,,0,0,,17953282.94,-0.615891566169101,,,,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
