,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+) OTROS INGRESOS,13.8,,684903.27,,533994.28,,175021.24,,1010728.41,,,,2404661,,38751.68,,,,(+) OTROS INGRESOS,0,,104000,,0,,104000,0.005037918586958544,,,260231.27,,0,,260231.27,0.001744451116547297,,0,102504.28,0,0,,102504.28,,0,,58054.42,,0,,58054.42,,0,,81727.38,,0,,0,,81727.38,0.003728600440164878,6132.95,,10651.13,,0,,16784.079999999998,0.00022848349187726456,,,0,,0,0,43.82,,0,,43.82,4.451097425434562e-06,0,,,,0,,0,0,,3066757.9299999997,,,0,,
(+) TRANSFERENCIAS ENVIADAS,28610184.860000044,,9603226.25000001,,13678677.899999985,,5446636.990000006,,1917532.4499999997,,,,59256258.45000005,,0,,,,TRANSFERENCIAS ENVIADAS,8550172.730000021,,229540.5700000001,,,,8779713.300000021,0.42530270021381966,53768407.23,,7419745.47,,,,61188152.699999996,0.4101726179831559,30012230.780000944,,1601007.3599999999,,,,31613238.140000943,,3879403.000000001,,3384345.2299999995,,,,3384345.2299999995,,0,,46464.799999999996,,11944550.639999995,,0,,11991015.439999996,0.547059081639566,6432243.699999967,,2629707.62,,0,,9061951.319999967,0.12336132101463884,144676.85000000003,,,,144676.85000000003,0.007069776511841504,424228.22999999986,,,,424228.22999999986,0.043091765913958475,10233056.459999997,,23860.199999999997,,0,,10256916.659999996,0.13962851311307437,,199979899.32000095,,,,,
VENTAS NETAS,36614706.40000004,,53515634.420000024,,14848797.909999985,,5780131.180000005,1,39644398.55,1,0,,150403668.46000007,1,38751.68,1,,,VENTAS NETAS,8550172.730000021,1,12093273.21,1,0,,20643445.94000002,1,59366141.519999996,1,89810449.06,1,0,,149176590.58,1,48087750.25000094,1,79886385.98,1,0,,127974136.23000096,1,10416776.9,1,3513588.6399999997,1,0,,3513588.6399999997,1,0,1,4883043.699999998,1,17036006.439999994,1,0,,21919050.139999993,1,59146834.40999997,1,14311776.810000002,1,0,,73458611.21999997,1,20464133.45,1,0,,20464133.45,1,9844763.170000002,1,0,,9844763.170000002,1,10233056.459999997,1,2885368.9,1,0,,13118425.359999996,1,,597905183.8400009,1,397925284.5200001,,-1233088.6299999952,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTARIO INICIAL,33416296.09,,23011215.16,,6184200.65,,3518549.54,,40969674.34,,,,107099935.78,,4644459.34,,,,INVENTARIO INICIAL,12053574.18,,1602468.13,,,,13656042.309999999,,123608272.39000002,,30394179.2,,,,154002451.59,,56814002.83,,145884608.76999998,,,,202698611.59999996,,16585213.07,,31653749.07,,,,31653749.07,,0,,2103646.7199999997,,176193964.60000002,,,,178297611.32000002,,82535725.16,,87594592.07,,,,170130317.23,,5374965.44,,,,5374965.44,,3699354.1900000004,,,,3699354.1900000004,,40587783.620000005,,3152279.2,,,,43740062.82000001,,,931582773.7600001,,,,,
(+) COMPRAS,29057465.85,,1561433.7,,6778678.53,,5069764.53,,7328636.48,,,,49795979.09,,0,,,,(+) COMPRAS,8348378.46,,9860.76,,,,8358239.22,,30908136.6,,2534930.28,,,,33443066.880000003,,29942917.31,,9680416.37,,,,39623333.68,,4986587.33,,1624533.47,,,,1624533.47,,0,,930853.08,,6380798.93,,,,7311652.01,,24896632.65,,673820.75,,,,25570453.4,,1083136.54,,,,1083136.54,,16196.7,,,,16196.7,,4553322.75,,370498.61,,,,4923821.36,,,176736999.68,,,,,
(+) TRANSFERENCIAS RECIBIDAS,1387042.7099999995,,25778260.450000048,,5064425.510000004,,28019.789999999997,,18444626.96999999,,,,50702375.430000044,,0,,,,(+) TRANSFERENCIAS RECIBIDAS,170161.62000000002,,8799409.17000002,,,,8969570.79000002,,3437042.33,,55368229.64,,,,58805271.97,,935783.3499999999,,47781367.25000094,,,,48717150.60000094,,159891.58000000005,,42572.17,,,,42572.17,,0,,2315191.669999999,,4970843.43,,,,7286035.099999999,,537700.5700000001,,7355696.329999967,,,,7893396.899999967,,9778929.159999996,,,,9778929.159999996,,6412652.480000003,,,,6412652.480000003,,168527.10000000003,,1043526.0400000002,,,,1212053.1400000001,,,199979899.32000095,,0,,,
(=) MATERIAL DISPONIBLE,63860804.65,,50350909.31000005,,18027304.690000005,,8616333.86,,66742937.79,,,,207598290.30000004,,4644459.34,,,,(=) MATERIAL DISPONIBLE,20572114.26,,10411738.060000021,,,,30983852.320000015,,157953451.32000002,,88297339.12,,,,246250790.44,,87692703.49,,203346392.39000094,,,,291039095.8800009,,21731691.979999997,,33320854.71,,,,33320854.71,,0,,5349691.469999999,,187545606.96000004,,,,192895298.43,,107970058.38,,95624109.14999996,,,,203594167.52999997,,16237031.139999997,,,,16237031.139999997,,10128203.370000005,,,,10128203.370000005,,45309633.470000006,,4566303.850000001,,,,49875937.32000001,,,1308299672.760001,,,,,
(--) INVENTARIO FINAL,33588379.15,,18308094.27,,5984435.62,,4341645.84,,37797305.61,,,,100019860.49,,4644459.34,,,,(--) INVENTARIO FINAL,13198676.83,,1509597.9,,,,14708274.73,,104995475.65,,28972922.619999997,,,,133968398.27000001,,49869159.69,,148714615.56,,,,198583775.25,,14653283.719999999,,30768791.29,,,,30768791.29,,0,,3062270.71,,173665817.91,,,,176728088.62,,64856792.69,,87464061.88,,,,152320854.57,,4408919.45,,,,4408919.45,,3814941.8,,,,3814941.8,,35290895.85,,2242210.6,,,,37533106.45,,,872152753.98,,,,,
(=) COSTO MATERIALES,30272425.5,0.8267832375681692,32042815.040000048,0.598756146447269,12042869.070000004,0.8110332663285614,4274688.02,0.7395486169571667,28945632.18,0.7301317017962429,,,107578429.81000005,0.7152646668230076,0,0,,,(=) COSTO MATERIALES,7373437.430000002,0.862372920739811,8902140.16000002,0.7361232980859795,,,16275577.590000015,0.7884137966744906,52957975.67000002,0.35500191728540587,59324416.50000001,0.3976791282690274,,,112282392.16999999,0.7526810455544329,37823543.8,0.7865525753099514,54631776.83000094,0.6838684233841584,,,92455320.63000089,0.7224531718177489,7078408.259999998,0.6795200020075305,2552063.420000002,0.7263409811115515,,,2552063.420000002,0.7263409811115515,0,,2287420.759999999,0.4684415910510896,13879789.050000042,0.8147325547735615,,,16167209.810000002,0.7375871539477216,43113265.69,0.7289192417491549,8160047.269999966,,,,51273312.95999998,0.6979891412109928,11828111.689999998,0.5779923063392649,,,11828111.689999998,0.5779923063392649,6313261.570000005,0.6412812031109535,,,6313261.570000005,0.6412812031109535,10018737.620000005,0.9790562242241364,2324093.2500000005,,,,12342830.870000005,0.9408774705259297,,436146918.7800009,0.7257359095591845,,,,
(+) VARIACION EN COMPRAS,1717652.71,,13703.96,,358436.24,,260218.98,,445393.35,,,,2795405.24,,0,,,,(+) VARIACIONES STD,541745.79,,7661.05,,,,549406.8400000001,,1602307.92,,74076.57,,,,1676384.49,,1349182.66,,-60523.58,,,,1288659.0799999998,,-64884.84,,-175630.71,,,,-175630.71,,0,,114675.45,,-186721.24,,,,-72045.79,,1218060.38,,21608.95,,,,1239669.3299999998,,4148.68,,,,4148.68,,972.47,,,,972.47,,171664.23,,18782.16,,,,190446.39,,,7432531.18,0.012367517788117498,,,,
