UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.339361608740504,Unnamed: 122,Unnamed: 123,20,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
MARGEN,-2948933.3653228427,-0.28309460725062113,,-4630086.532671841,-0.5099888780862343,,1681153.1673489988,0.22689427083561314,,-3259491.2285449887,-0.3480212355158875,,-4624813.116925523,-0.5206968417439516,,1365321.888380536,0.1726756062280641,,-2388114.2304037013,-0.18929932258202775,,-4272043.348036122,-0.511997536834448,,1883929.1176324212,0.3226982142524203,,-8596538.824271534,-0.26534079102315045,,-4120789.1321602706,-0.3341762468193433,,-3302343.6854151324,-0.2914052425824086,,-818445.4467451354,-0.04277100423693475,,-1788655.788802675,-0.10065439068850769,,-4963934.926837956,-0.5659947204007634,,3175279.1380352816,0.4653403297122557,,-6479774.750279987,-0.5993819859316594,,-3819622.5481908973,-0.37807879476193573,,-2660152.20208909,-0.22130319116972363,,-12389219.671242934,-0.3028244600511214,,-3522795.447007699,-0.3422354815777058,,-3322146.6992743714,-0.28962990489867013,,-200648.74773332372,-0.05260557667903565,,-4171866.885095382,-0.3430405946097696,,-4418461.482928497,-0.5084952913324763,,246594.59783311433,0.16545469672270668,,-4566026.26505256,-0.48771163555662655,,-4270952.618479614,-0.49509342116667926,,-295073.6465729459,0.007381785610052705,,-12260688.59715564,-0.3853494499560152,,-3359201.2060642126,-0.23513162604582835,,-3535481.261832966,-0.3647001445530245,,176280.05576875582,0.12956851850719617,,0,,,0,,,0,,,0,,,0,,,,,,-3359201.2060642126,-0.23513162604582835,,-36605648.29873433,-0.30654439195706495,,-41159886.22059292,-0.43330529831091175,,4554237.921858628,0.1267609063538468,,-22369177.088678595,-0.1263314420092008,,-30539436.14946744,-0.18692770281013024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTROS INGRESOS 16%,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,464651.11,0.031217168367219616,,0,0,,464651.11,,,19000,0.002308002249034006,,0,0,,19000,,,483651.11,0.01182167966388007,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,0,,,0,0,,483651.11,0.005026394166544751,,0,0,,483651.11,,,0,0,,0,0
OTROS INGRESOS 0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTILIDAD O (PERDIDA) DE OPERACIÓN,-2948933.3653228427,-0.28309460725062113,,-4630086.532671841,-0.5099888780862343,,1681153.1673489988,0.22689427083561314,,-3259491.2285449887,-0.3480212355158875,,-4624813.116925523,-0.5206968417439516,,1365321.888380536,0.1726756062280641,,-2388114.2304037013,-0.18929932258202775,,-4272043.348036122,-0.511997536834448,,1883929.1176324212,0.3226982142524203,,-8596538.824271534,-0.26534079102315045,,-4120789.1321602706,-0.3341762468193433,,-3302343.6854151324,-0.2914052425824086,,-818445.4467451354,-0.04277100423693475,,-1324004.678802675,-0.07450672457377916,,-4963934.926837956,-0.5659947204007634,,3639930.2480352814,0.4914879958269842,,-6460774.750279987,-0.5976244776583649,,-3819622.5481908973,-0.37807879476193573,,-2641152.20208909,-0.21954568289642917,,-11905568.561242934,-0.29100278038724137,,-3522795.447007699,-0.3422354815777058,,-3322146.6992743714,-0.28962990489867013,,-200648.74773332372,-0.05260557667903565,,-4171866.885095382,-0.3430405946097696,,-4418461.482928497,-0.5084952913324763,,246594.59783311433,0.16545469672270668,,-4566026.26505256,-0.48771163555662655,,-4270952.618479614,-0.49509342116667926,,-295073.6465729459,0.007381785610052705,,-12260688.59715564,-0.3853494499560152,,-3359201.2060642126,-0.23513162604582835,,-3535481.261832966,-0.3647001445530245,,176280.05576875582,0.12956851850719617,,0,,,0,,,0,,,0,,,0,,,0,,,-3359201.2060642126,-0.23513162604582835,,-36121997.18873433,-0.30249418270453726,,-41159886.22059292,-0.43330529831091175,,5037889.031858629,0.13081111560637448,,-22369177.088678595,-0.1263314420092008,,-30539436.14946744,-0.18692770281013024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8596538.824271532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11905568.561242932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12260688.597155642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3359201.2060642126,,,-36121997.188734315,,,-41159886.22059292,,,5037889.031858608,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Manode Obra Directa,563878.36,0.0541317497161718,,,,,,,,500977.98,0.05349024229271587,,,,,,,,476376.78,0.03776109224581082,,,,,,,,1541233.12,0.04757170572617434,,502867.28,0.04078012606060134,,,,,,,,656392.33,0.03693766595136019,,,,,,,,461392.67,0.04267902288223231,,,,,,,,1620652.28,0.03961291870227874,,326728.41,0.03174128513094553,,,,,,,,327174.94,0.02690265270926775,,,,,,,,230452.65,0.024615372826499726,,,,,,,,884356,0.02779502109240103,,277634.26,0.019433368528798515,,,,,,,,0,,,,,,,,,0,,,,,,,,,277634.26,0.019433368528798515,,4323875.66,0.0362091616101355,,,,,,,,10953219.33,0.07096370807504462,,9832151.09,0.07185080770463607
Semanal,112775.67199999999,,,,,,,,,125244.495,,,,,,,,,119094.195,,,,,,,,,118556.39384615385,,,125716.82,,,,,,,,,131278.466,,,,,,,,,115348.1675,,,,,,,,,124665.56,,,81682.1025,,,,,,,,,65434.988,,,,,,,,,57613.1625,,,,,,,,,68027.38461538461,,,55526.852,,,,,,,,,0,,,,,,,,,0,,,,,,,,,55526.852,,,98269.90136363637,,,,,,,,,210638.83326923076,,,223457.9793181818,
Mano de Obra Directa Total,627328.36,0.06022288525733905,,,,,,,,558605.0599999999,0.05964318033566482,,,,,,,,544713.61,0.043177966975549514,,,,,,,,1730647.03,0.053418155993843176,,576631.3200000001,0.046762036138225084,,,,,,,,785794.61,0.044219619096645076,,,,,,,,603446.04,0.055819021462461635,,,,,,,,1965871.97,0.04805097767591364,,511479.81999999995,0.04968966979438579,,,,,,,,483070.39,0.03972148642038577,,,,,,,,396836.84,0.04238739180430349,,,,,,,,1391387.05,0.04373084188092086,,406050.4,0.028422022067687354,,,,,,,,0,,,,,,,,,0,,,,,,,,,406050.4,0.028422022067687354,,5493956.45,0.0460076960161931,,,,,,,,11857593.33,0.07682296557670741,,10653605.09,0.07785378028428183
Semanal,125465.67199999999,,,,,,,,,139651.26499999998,,,,,,,,,136178.4025,,,,,,,,,133126.69461538462,,,144157.83000000002,,,,,,,,,157158.922,,,,,,,,,150861.51,,,,,,,,,151220.92076923075,,,127869.95499999999,,,,,,,,,96614.07800000001,,,,,,,,,99209.21,,,,,,,,,107029.77307692308,,,81210.08,,,,,,,,,0,,,,,,,,,0,,,,,,,,,81210.08,,,124862.64659090909,,,,,,,,,228030.64096153848,,,242127.3884090909,
Mano de Obra Indirecta,1188343.23,0.11407974284252934,,,,,,,,1187436.94,0.12678459366202308,,,,,,,,1106586.47,0.08771610104849394,,,,,,,,3482366.6399999997,0.1074867382999961,,1165599.64,0.09452454384264479,,,,,,,,1380538.93,0.07768811958724171,,,,,,,,1196856.3900000001,0.11070973723001705,,,,,,,,3742994.96,0.09148844380950061,,1069605.65,0.10391094522303808,,,,,,,,1173875.96,0.09652443819700336,,,,,,,,1058231.6600000001,0.1130330540686154,,,,,,,,3301713.2699999996,0.10377177288412173,,1153889.5,0.08076798553251696,,,,,,,,0,,,,,,,,,0,,,,,,,,,1153889.5,0.08076798553251696,,11680964.370000001,0.09781916962791772,,,,,,,,16690667.36,0.10813548148978001,,14258246.2,0.10419556173862235
Mantenimiento Instalaciones,37011.729999999996,0.003553088479796471,,,,,,,,26649.65,0.002845426929774589,,,,,,,,5662.39,0.00044884226120709894,,,,,,,,69323.76999999999,0.0021397476757240934,,7071.75,0.0005734850286323212,,,,,,,,12169.73,0.000684836493226919,,,,,,,,37011.54,0.0034235835661772795,,,,,,,,56253.020000000004,0.0013749687922060987,,36998.68,0.0035943787421137082,,,,,,,,6975.65,0.0005735876023127064,,,,,,,,12003.369999999999,0.0012821177266758355,,,,,,,,55977.7,0.001759360882047611,,10339.189999999999,0.0007237049547100861,,,,,,,,0,,,,,,,,,0,,,,,,,,,10339.189999999999,0.0007237049547100861,,191893.68,0.0016069632472002274,,,,,,,,282928.72,0.0018330383503902716,,257573.51999999996,0.0018822804171661923
Mantenimiento Equipo,158468.41999999998,0.015212807331987687,,,,,,,,173400.58,0.01851426491419336,,,,,,,,239844.48,0.019011819874865707,,,,,,,,571713.48,0.01764650984806702,,273372.30999999994,0.0221691840106952,,,,,,,,202465.19,0.011393477975281447,,,,,,,,298736.10000000003,0.02763321933061668,,,,,,,,774573.6,0.0189325751269306,,214203.56999999995,0.020809627762203013,,,,,,,,347389.56999999995,0.028564843494834468,,,,,,,,309154.66000000003,0.0330217822053674,,,,,,,,870747.7999999999,0.027367319797866236,,152190.18,0.010652748167334178,,,,,,,,0,,,,,,,,,0,,,,,,,,,152190.18,0.010652748167334178,,2369225.0599999996,0.01984045329562575,,,,,,,,6117630.1400000015,0.03963489694550419,,5789421.5600000005,0.042307589806233774
Combustible,3364.93,0.0003230298615687929,,,,,,,,1519.13,0.00016220000682292158,,,,,,,,3029.64,0.00024015132624977706,,,,,,,,7913.700000000001,0.00024426428599278084,,1143.48,9.273074706267709e-05,,,,,,,,2176.9399999999996,0.00012250460409272916,,,,,,,,4440.16,0.00041071673340795084,,,,,,,,7760.58,0.0001896885768874063,,4026.06,0.0003911270477345223,,,,,,,,3967.29,0.0003262188267443431,,,,,,,,4469.55,0.0004774067020565043,,,,,,,,12462.9,0.00039170488849794063,,6168.070000000001,0.0004317420242783663,,,,,,,,0,,,,,,,,,0,,,,,,,,,6168.070000000001,0.0004317420242783663,,34305.25,0.0002872803103052461,,,,,,,,38236.659999999996,0.00024772764027219886,,38236.659999999996,0.00027942358490826955
Fletes,597990.44,0.05740647474172168,,,,,,,,991500.5700000001,0.10586414541147278,,,,,,,,843368.61,0.06685153688521772,,,,,,,,2432859.62,0.07509265173053921,,585976.32,0.04751987084569763,,,,,,,,929105.1,0.0522842395454333,,,,,,,,477391.42,0.04415891422367282,,,,,,,,1992472.84,0.048701171498316986,,145582.71,0.014143191001498018,,,,,,,,348757.86,0.02867735403942436,,,,,,,,155197.81,0.016577166524256795,,,,,,,,649538.38,0.020414779763380353,,223642.47999999998,0.015654144169867403,,,,,,,,0,,,,,,,,,0,,,,,,,,,223642.47999999998,0.015654144169867403,,5298513.319999999,0.04437100883177006,,,,,,,,6679514.139999999,0.04327523052659374,,5469401.09,0.039968963289915935
Gastos de importación,54707.380000000005,0.005251852902791842,,,,,,,,22191.28,0.00236939943744733,,,,,,,,0,0,,,,,,,,76898.66,0.002373554251323858,,19427.29,0.001575460099960888,,,,,,,,6994.51,0.0003936073931172358,,,,,,,,38848.46,0.0035934994660393863,,,,,,,,65270.26,0.0015953733783391191,,19010.92,0.0018468887732217562,,,,,,,,27023.980000000003,0.002222104017997826,,,,,,,,36035.979999999996,0.0038491164361455056,,,,,,,,82070.88,0.0025794610322900664,,15694.330000000004,0.001098544893928359,,,,,,,,0,,,,,,,,,0,,,,,,,,,15694.330000000004,0.001098544893928359,,239934.12999999998,0.002009265384138558,,,,,,,,1330066.43,0.008617233254922575,,1192594.61,0.00871517180811503
$ MOD / Ventas,18.473446826368722,,,,,,,,,18.694998510712985,,,,,,,,,26.48228482085126,,,,,,,,,21.020898551674,,,24.521748621226653,,,,,,,,,27.07263640633948,,,,,,,,,23.430714493145285,,,,,,,,,25.244289811507247,,,31.504710533130556,,,,,,,,,37.17105561324471,,,,,,,,,40.625019456274416,,,,,,,,,35.97766652795933,,,51.45788279155461,,,,,,,,,,,,,,,,,,,,,,,,,,,51.45788279155461,,,27.617319913866346,,,,,,,,,14.091710074429777,,,13.917728024865006,
$ MOI / Ventas,8.76579816085627,,,,,,,,,7.887393658142385,,,,,,,,,11.400415522882726,,,,,,,,,9.303473301134083,,,10.579262901968637,,,,,,,,,12.87198100961919,,,,,,,,,9.032629152775797,,,,,,,,,10.930342219857007,,,9.623625286571738,,,,,,,,,10.36007065857282,,,,,,,,,8.84696966068847,,,,,,,,,9.636531902723341,,,12.381143263718059,,,,,,,,,,,,,,,,,,,,,,,,,,,12.381143263718059,,,10.222945091476209,,,,,,,,,9.247658457918005,,,9.597337768652082,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.381143263718059,,,,,,,,,,,,,,,,
