UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.382726809837095,Unnamed: 122,Unnamed: 123,19.999252507177484,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,18.327244620303098,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
TRADICIONAL,9985503.430000002,0.9860877021726346,,9810864.815244623,1,,174638.61475537904,0.017800532169602076,,7460685.660000002,0.9888249366597543,,8982614.41996569,1,,-1521928.759965688,-0.1694304897005143,,7761677.130000004,0.9879371395907232,,8424934.397830363,1,,-663257.2678303597,-0.0787255112634664,,25207866.220000006,0.606440296040035,,7460743.279999999,0.979051394002667,,9571030.434285926,1,,-2110287.1542859264,-0.2204869338547214,,7267422.97,0.9854064015886447,,9500060.248274209,1,,-2232637.2782742092,-0.23501295991041662,,8025698.71,0.9882828464015423,,8846680.632807368,1,,-820981.9228073684,-0.09280112585536407,,22753864.96,0.9843219544235465,,7819426.560000002,0.9769642082680412,,10973381.228107512,1,,-3153954.6681075096,-0.2874186727449955,,8137606.150000001,0.982797687541204,,9503333.961150179,1,,-1365727.8111501774,-0.14371038803153718,,8839606.61,0.9848315411568868,,8688274.152871229,1,,151332.45712877065,0.017418011271980817,,24796639.320000004,0.9816719913648789,,9846514.340000007,0.9829480449978494,,9522895.761324227,1,,323618.57867578045,0.03398321128223491,,,,,,,,,,,,,,,,,,,,9846514.340000007,0.9829480449978494,,82604884.84,0.9843166906797416,,93824070.05186132,1,,-11219185.211861312,-0.119576833595685,,91642488.35000001,0.9650676310456928,,72771923.2,0.9604716629225476
AUTOMOTRIZ,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0
EMPAQUE,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0
PROD HOGAR,140881.28,0.013912297827365477,,0,0,,140881.28,,,84315.87,0.011175063340245601,,0,0,,84315.87,,,94771.24,0.012062860409276763,,0,0,,94771.24,,,319968.39,0.3935597039599651,,159636.33,0.020948605997332986,,0,0,,159636.33,,,107628.54,0.014593598411355366,,0,0,,107628.54,,,95153.27,0.011717153598457783,,0,0,,95153.27,,,362418.14,0.01567804557645342,,184373.88,0.023035791731958768,,0,0,,184373.88,,,142435.87000000002,0.017202312458795953,,0,0,,142435.87000000002,,,136148.37,0.015168458843113386,,0,0,,136148.37,,,462958.12,0.018328008635120983,,170815.05000000002,0.017051955002150516,,0,0,,170815.05000000002,,,,,,,,,,,,,,,,,,,,,170815.05000000002,0.017051955002150516,,1316159.7,0.01568330932025837,,0,0,,1316159.7,,,3317165.67,0.03493236895430719,,2994938.0300000003,0.0395283370774524
OTROS INGRESOS,,0,,0,0,,0,,,,0,,0,0,,0,,,,0,,0,0,,0,,,0,0,,0,0,,,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,0,0,,0,
TOTAL VENTAS,10126384.71,,,9810864.815244623,,,315519.89475537906,0.03216025301511723,,7545001.530000002,,,8982614.41996569,,,-1437612.8899656879,-0.1600439273860292,,7856448.370000004,,,8424934.397830363,,,-568486.0278303598,-0.06747661180326332,,25527834.610000007,,,7620379.609999999,,,9571030.434285926,,,-1950650.8242859263,-0.20380781752591515,,7375051.51,,,9500060.248274209,,,-2125008.738274209,-0.22368371175964286,,8120851.9799999995,,,8846680.632807368,,,-725828.6528073684,-0.08204530975331903,,23116283.1,,,8003800.440000002,,,10973381.228107512,,,-2969580.7881075097,-0.2706167521548551,,8280042.020000001,,,9503333.961150179,,,-1223291.9411501773,-0.12872239849204706,,8975754.979999999,,,8688274.152871229,,,287480.82712877064,0.033088369688906,,25259597.440000005,,,10017329.390000008,,,9522895.761324227,,,494433.6286757805,0.05192051252769637,,,,,,,,,,,,,,,,,,,,10017329.390000008,,,83921044.54,1,,93824070.05186132,,,-9903025.511861313,-0.1055488800090148,,94959654.02000001,1,,75766861.23,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,424228.22999999986,0.04020887055686073,,445480.1922392678,0.043434595064246385,,-21251.962239267945,-0.04770574002952189,,397162.39,0.050006823581148135,,407871.9739772258,0.043434595064246385,,-10709.58397722576,-0.02625721957013832,,548982.7000000002,0.06531285491821896,,382549.49648443505,0.043434595064246385,,166433.20351556514,0.4350631880189571,,1370373.32,0.027987509310203617,,416138.46,0.051780940001047,,434749.30656834744,0.04344981778813666,,-18610.84656834742,-0.042808225998680435,,479000.9099999998,0.060987740389947614,,431367.5445929889,0.04343459506424638,,47633.36540701089,0.11042408267398679,,476758.84000000014,0.055452479762278906,,401699.65270122513,0.043434595064246385,,75059.18729877501,0.18685400097819424,,1371898.21,0.05602287048731427,,428106,0.05077214779911623,,498266.3680592382,0.04343459506424638,,-70160.36805923819,-0.14080895793251075,,384822.0499999997,0.04441178152261536,,431516.1934907963,0.043434595064246385,,-46694.14349079662,-0.10820948134775513,,430544.6800000001,0.04577195024212105,,394506.91786461347,0.04343459506424638,,36037.76213538664,0.09134887248733632,,1243472.7299999997,0.046918063530901465,,616638.8200000001,0.05798764937251957,,432404.4326691142,0.04343459506424638,,184234.38733088586,0.4260696084766232,,,,,,,,,,,,,,,,,,,,616638.8200000001,0.05798764937251957,,4602383.08,0.05199056570376392,,4260412.078647253,0.04343614796251321,,341971.001352747,0.08026711854157734,,4312089.5200000005,0.04343722963083157,,3398644.8500000006,0.04293088010535207
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
