UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,20.564370967741933.1,Unnamed: 122,Unnamed: 123,18.5,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145
TRADICIONAL,38956404.10551405,0.4296442227569777,,47650187.90354456,0.44668273859805385,,-8693783.79803051,-0.18245014721933142,,32752697.080000006,0.4163957463686626,,43643378.09231578,0.44870271456097666,,-10890681.012315772,-0.2495379938115578,,34651988.472240746,0.39003541959250193,,40963550.89103074,0.42100503170737125,,-6311562.418789998,-0.15407752212643164,,106361089.65775481,0.41197745865745705,,26953405.409999993,0.32870836149232135,,46567638.533501245,0.46484580179400287,,-19614233.123501252,-0.4211987925776088,,31425079.54935,0.3752867199953427,,46263957.79370811,0.4334885484357716,,-14838878.244358107,-0.3207438133703337,,27797557.13303498,0.3859910146106493,,43133199.98173067,0.40382289918207065,,-15335642.848695688,-0.35554150527183687,,86176042.09238498,0.3624646578357129,,35366898.87000001,0.43558033878650604,,53497246.04002289,0.41597458509441315,,-18130347.170022875,-0.3389024391360075,,31253283.23,0.4130377207406705,,46415902.282264575,0.4024575999318776,,-15162619.052264575,-0.32666862662838253,,33810555.51,0.4176959103274821,,42527542.39354373,0.38444423231742203,,-8716986.88354373,-0.2049727398512238,,100430737.61000001,0.4223200495923206,,34671993.689999975,0.3845073504730543,,46633305.51821489,0.3816964871985225,,-11961311.828214914,-0.25649719005106436,,0,,,0,,,0,,,0,,,0,,,0,,,34671993.689999975,0.3845073504730543,,327639863.0501398,0.3976684942173815,,457295909.4298772,0.4188883702330588,,-129656046.37973744,-0.2835276758573743,,432801712.14,0.4232919717009885,,369942773.21,0.42139392797206193,,,34671993.689999975,0.3845073504730543,,5734028.26,0.9815507876866878,,28937965.429999974,0.3431486161090538,
AUTOMOTRIZ,51570180.230000004,0.568759630440825,,58141603.25248588,0.5450314407966902,,-6571423.022485875,-0.11302445503521455,,45637533.470000006,0.5802048840511997,,52666517.212257266,0.5414706714412882,,-7028983.74225726,-0.13346209535612466,,52933209.77000001,0.5958049622335232,,55438439.1707971,0.5697714512835125,,-2505229.4007970914,-0.04518939274388433,,150140923.47000003,0.5815536141147885,,54952124.57,0.6701647733619958,,50561288.58705074,0.5047110713178449,,4390835.982949257,0.08684185284142054,,51754518.989999995,0.6180663328534205,,58877054.4626703,0.551671973007633,,-7122535.472670302,-0.1209730265495226,,43868768.52,0.6091524657981967,,60655654.46267029,0.5678721320763602,,-16786885.942670286,-0.2767571480578377,,150575412.07999998,0.6333345543943416,,45662385.95,0.562380027013694,,73740481.98630738,0.5733784198156294,,-28078096.03630738,-0.38076908748062027,,44283046.589999996,0.5852367092564988,,67540900.36430964,0.5856257730929526,,-23257853.774309643,-0.34435214290687327,,46862395.67999999,0.5789384625134265,,67540900.36430964,0.6105621940318485,,-20678504.684309646,-0.3061627039730241,,136807828.21999997,0.5752889023164475,,54520578.16,0.6046252558187024,,73740481.98630738,0.6035704015771622,,-19219903.826307386,-0.2606425033928618,,0,,,0,,,0,,,0,,,0,,,0,,,54520578.16,0.6046252558187024,,492044741.92999995,0.5972127133411084,,618903321.8491656,0.5669226390947576,,-126858579.91916561,-0.20497317665081563,,553663092.52,0.5414977240548622,,477196505.48999995,0.5435643683971202,,,54520578.16,0.6046252558187024,,107776.70000000001,0.018449212313312154,,54412801.45999999,0.6452311778719171,
EMPAQUE,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,0,,0,0,,0,,,39908.48,3.9031590478840444e-05,,0,0,,,0,0,,0,0,,0,0,
PROD HOGAR,144724.72,0.0015961468021972796,,883895.6034313726,0.008285820605255899,,-739170.8834313726,-0.8362649169900112,,267386.31,0.003399369580137569,,955792.3679824562,0.009826613997735018,,-688406.0579824562,-0.7202464479137711,,1257985.56,0.014159618173974892,,897442.9755980864,0.009223517009116463,,360542.5844019137,0.40174428259537703,,1670096.59,0.006468927227754475,,92400.61,0.0011268651456829407,,3049752.24748878,0.0304431268881522,,-2957351.63748878,-0.9697022569370728,,556590.02,0.006646947151236812,,1583739.6676343451,0.014839478556595346,,-1027149.6476343451,-0.6485596519588434,,349747.47,0.004856519591154022,,3023315.1207610853,0.028304968741569056,,-2673567.6507610856,-0.8843165677311352,,998738.1,0.0042007877699453905,,165607.88,0.0020396341997998596,,1369278.1634365837,0.010646995089957518,,-1203670.2834365838,-0.879054611092051,,130568.53,0.001725570002830703,,1374358.4251044316,0.011916626975169911,,-1243789.8951044315,-0.904996740577278,,272431.98,0.0033656271590912523,,552393.2921208346,0.00499357365072964,,-279961.3121208346,-0.5068151914842475,,568608.39,0.0023910480912319723,,979940.19,0.010867393708243423,,1800000,0.014733111224315388,,-820059.81,-0.45558878333333336,,0,,,0,,,0,,,0,,,0,,,0,,,979940.19,0.010867393708243423,,4217383.27,0.00511879244151015,,15489967.863557976,0.014188990672183627,,-11272584.593557976,-0.7277345371437532,,35961435.699999996,0.03517127265367041,,30763198.419999994,0.035041703630817975,,,979940.19,,,0,,,979940.19,,
OTROS INGRESOS,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,,,,0,0,,0,0,,0,0,
TOTAL VENTAS,90671309.05551405,,,106675686.75946182,,,-16004377.703947758,-0.15002835407130133,,78657616.86000001,,,97265687.6725555,,,-18608070.81255549,-0.19131176942067668,,88843183.80224076,,,97299433.03742592,,,-8456249.235185176,-0.08690954275070124,,258172109.71775484,,,81997930.58999999,,,100178679.36804077,,,-18180748.778040774,-0.1814832147192474,,83736188.55935,,,106724751.92401275,,,-22988563.364662755,-0.21540048536285605,,72016073.12303498,,,106812169.56516205,,,-34796096.44212706,-0.3257690259806893,,237750192.27238497,,,81194892.70000002,,,128607006.18976684,,,-47412113.489766836,-0.368658869329464,,75666898.35,,,115331161.07167864,,,-39664262.72167865,-0.343916269923158,,80945383.17,,,110620836.04997419,,,-29675452.879974212,-0.2682627788725803,,237807174.21999997,,,90172512.03999996,,,122173787.50452226,,,-32001275.4645223,-0.2619324170770901,,0,,,0,,,0,,,0,,,0,,,0,,,90172512.03999996,,,823901988.2501397,1,,1091689199.1426008,,,-267787210.89246103,-0.24529619886573745,,1022466148.84,1,,877902477.1199999,1,,,90172512.03999996,1,,5841804.96,1,,84330707.07999997,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,4861257.979999999,0.050885872020929104,,5815127.563434074,0.05169424364501633,,-953869.5834340751,-0.1640324434896447,,3202073.5100000002,0.03911660910915805,,5300978.402786936,0.051683247643956695,,-2098904.8927869354,-0.3959466976291504,,2977305.410000002,0.03242528367626135,,5302259.680497676,0.05167809165756014,,-2324954.270497674,-0.4384836674539206,,11040636.9,0.041010825225434776,,2879106.0500000017,0.03392090680794534,,5458730.358497361,0.051674216289743266,,-2579624.308497359,-0.47256855332335174,,2847128.2700000014,0.03288310467028543,,5815224.913627187,0.051672526306067584,,-2968096.6436271854,-0.5104010055865347,,3142804.2299999995,0.04181547597149001,,5823006.760366199,0.051697941534153226,,-2680202.530366199,-0.4602781072844995,,8869038.550000003,0.03596247754250551,,3209288.009999997,0.03802285601262602,,7017961.281437675,0.05174534904812203,,-3808673.2714376776,-0.5427036597525152,,1987158.8399999994,0.02558989075275127,,6294142.449411594,0.05175027126094833,,-4306983.609411595,-0.6842844190496884,,3695103.1499999994,0.043656449893611615,,6037765.873140648,0.0517558566072985,,-2342662.7231406486,-0.3880015840895918,,8891549.999999996,0.03604214017771217,,2371829.6400000006,0.02562911569679018,,6667881.123299597,0.05175252070477877,,-4296051.483299596,-0.6442903530910128,,,,,,,,0,,,,,,,,,0,,,2371829.6400000006,0.02562911569679018,,31173055.09,0.03645651376776259,,59533078.406498946,0.05171293117541313,,-28360023.316498946,-0.47637421204482877,,55830421.690000005,0.05177649935634912,,49259651.63000001,0.05312949062793568,,,2371829.6400000006,,,67183715.55999942,,,7284959.690000001,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
