,,,,,,,,,,,,,,,HDA SAN JOSE,,,,,PUEBLA,,,,,,,,LEON,,,,,,,,MONTERREY 2,,,,,,,,MTY RESORTES,,MTY TELAS,,,,,,YUCATAN,,,,,,,,,,TECATE,,,,,,,,CD JUATREZ,,,,,,OCOTLAN,,,,,,CD JUAREZ II,,,,,,,,,,,,,,
,10101,,10102,,10103,,10106,,10112,,10120, ,TOTAL,,11108,,,,,10201,,10202,,10220,,TOTAL,,10301,,10302,,10320,,TOTAL,,10401,,10402,,10420,,TOTAL,,11211,,10710,,10720,,TOTAL,,10501,,10502,,10508,,10520,,TOTAL,,10601,,10602,,10620,,TOTAL,,10802,,10820,,TOTAL,,10902,,10920,,TOTAL,,11001,,11002,,11020,,TOTAL,,,TOTAL,,,,,
,ESPUMADO,%,CORTE GDL,%,POLIETILENO,%,CORRUGADO,%,ALM VALLARTA,%,ADMON,%,GUADALAJARA,%,COSTURA HSJ,%,,,,ESPUMADO,%,CORTE,%,ADMON,%,PUEBLA,%,ESPUMADO,%,CORTE,%,ADMON,%,LEON,%,ESPUMADO,%,CORTE,%,ADMON,%,MTY2,%,RESORTES,%,TELAS,%,ADMON,%,MTY TELAS,%,ESPUMADO,%,CORTE,%,COSTURA,%,ADMON,%,YUCATAN,%,ESPUMADO,%,CORTE,%,ADMON,%,TKT,%,CORTE,%,ADMON,%,JUÁREZ,%,CORTE,%,ADMON,%,OCOTLAN,%,ESPUMADO,%,CORTE,%,ADMON,%,JRZ II,%,,GENERAL,%,,,,
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+) OTROS INGRESOS,31715.17,,456832.55,,279393.04,,5416.07,,130577.3,,,,0,,0,,,,(+) OTROS INGRESOS,,,52000,,,,0,0,,,26312.88,,,,0,0,0,0,365150.71,,0,,0,,19000,,40596,,,,40596,,,,106015.51,,76000,,,,0,0,0,,15152.56,,,,0,0,0,,,,0,0,0,,,,0,0,,,862.07,,,,0,0,,0,,,,,
(+) TRANSFERENCIAS ENVIADAS,25633157.08000006,,11494053.270000003,,18460215.610000003,,7521861.669999998,,2613185.0799999996,,,,65722472.71000007,,0,,,,TRANSFERENCIAS ENVIADAS,8379435.259999989,,85115.93,,,,8464551.189999988,0.41078534662924576,53873004.72999993,,7826312.65,,,,61699317.37999993,0.4614227064505306,27664450.260000233,,1065344.0200000003,,,,28729794.280000232,,2578532.2399999998,,2597237.84,,,,2597237.84,,0,,49202.590000000004,,6696263.729999999,,0,,6745466.319999998,0.47767576021299524,5546525.21999998,,638304.2600000001,,0,,6184829.47999998,0.09791119050952472,38323.62,,,,38323.62,0.0024847698385526765,476758.84000000014,,,,476758.84000000014,0.055452479762278906,10806894.030000003,,0,,0,,10806894.030000003,0.1710824629214481,,194044177.93000022,,,,,
VENTAS NETAS,31877361.01000006,,39922543.78000004,,18670843.240000002,,7719513.699999998,1,36111796.142249994,1,0,,134302057.87225008,1,0,1,,,VENTAS NETAS,8379435.259999989,1,12226341.600000001,1,0,,20605776.859999992,1,58964522.999999925,1,74750867.50303498,1,0,,133715390.50303489,1,51357109.71000023,1,77635046.07999998,1,0,,128992155.79000023,1,10810759.92,1,3307336.0599999996,1,0,,3307336.0599999996,1,0,1,5179086.949999999,1,8942346.209999999,1,0,,14121433.159999998,1,50890957.84039998,1,12276790.889999999,1,0,,63167748.730399966,1,15423408.400000002,1,0,,15423408.400000002,1,8597610.82,1,0,,8597610.82,1,10806894.030000003,1,2311053.4699999997,1,0,,13117947.500000004,1,,546161625.6156852,1,352117447.68568504,352117447.68568504,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTARIO INICIAL,23710526.78,,18933561.799999997,,4051013.02,,2947571.58,,35897021.69,,,,85539694.87,,4644459.34,,,,INVENTARIO INICIAL,10654650.85,,1911139.98,,,,12565790.83,,93022291.53999999,,31250640.910000004,,,,124272932.44999999,,49868176.18,,156902580.38,,,,206770756.56,,20017221.56,,32034871.61,,,,32034871.61,,0,,3327900.58,,162104415.96,,,,165432316.54000002,,58712866.44,,77998090.28,,,,136710956.72,,5623170.46,,,,5623170.46,,3381252.6799999997,,,,3381252.6799999997,,34808204.18,,2711110.6500000004,,,,37519314.83,,,834512738.45,,,,,
(+) COMPRAS,32569998.71,,1467994.68,,9161303.67,,7006159.52,,8824663.95,,,,59030120.53,,0,,,,(+) COMPRAS,4160985.53,,2249.08,,,,4163234.61,,43697171.48,,2576160.59,,,,46273332.06999999,,36714183.48,,7630337.94,,,,44344521.419999994,,4663540.3,,971178.95,,,,971178.95,,0,,417799.53,,4739841.25,,,,5157640.78,,33698002.22,,679316.93,,,,34377319.15,,1048449.9,,,,1048449.9,,45953.91,,,,45953.91,,8026618.91,,-199884.39,,,,7826734.5200000005,,,210807185.44,,,,,
(+) TRANSFERENCIAS RECIBIDAS,1047876.3199999997,,25111544.20000006,,7695864.739999998,,331535.8999999999,,22954636.12,,,,57141457.28000006,,0,,,,(+) TRANSFERENCIAS RECIBIDAS,373308.94000000006,,8621931.419999989,,,,8995240.359999988,,7287103.57,,53899045.72999992,,,,61186149.29999992,,2617626.3999999994,,36880460.58000024,,,,39498086.980000235,,28614.239999999994,,66701.29,,,,66701.29,,0,,2530729.8699999964,,2694239.21,,,,5224969.079999996,,175980.7200000001,,6349668.67999998,,,,6525649.39999998,,7821106.430000004,,,,7821106.430000004,,5698879.2600000035,,,,5698879.2600000035,,6379.080000000001,,1850945.23,,,,1857324.31,,,194044177.93000016,,0,,,
(=) MATERIAL DISPONIBLE,57328401.81,,45513100.68000005,,20908181.43,,10285267,,67676321.76,,,,201711272.68000007,,4644459.34,,,,(=) MATERIAL DISPONIBLE,15188945.319999998,,10535320.47999999,,,,25724265.79999999,,144006566.58999997,,87725847.22999993,,,,231732413.8199999,,89199986.06,,201413378.9000002,,,,290613364.9600002,,24709376.099999998,,33072751.849999998,,,,33072751.849999998,,0,,6276429.979999997,,169538496.42000002,,,,175814926.4,,92586849.38,,85027075.88999999,,,,177613925.26999998,,14492726.790000005,,,,14492726.790000005,,9126085.850000003,,,,9126085.850000003,,42841202.17,,4362171.49,,,,47203373.660000004,,,1239364101.8200002,,,,,
(--) INVENTARIO FINAL,31497390.080000002,,18235806.520000003,,4745563.25,,4380491.970000001,,39402200.17,,,,98261451.99000001,,4644459.34,,,,(--) INVENTARIO FINAL,7918428.58,,2429535.47,,,,10347964.05,,89806103.7,,30973931.339999996,,,,120780035.03999999,,51316470.58,,144518596.97,,,,195835067.55,,15221714.780000001,,30932095.69,,,,30932095.69,,0,,3705408.08,,162957417.70000002,,,,166662825.78000003,,56177361.51,,78468266.30000001,,,,134645627.81,,3700676.1399999997,,,,3700676.1399999997,,3088644.06,,,,3088644.06,,32641389.270000003,,2716852.37,,,,35358241.64,,,819478803.8699999,,,,,
(=) COSTO MATERIALES,25831011.73,0.8103246602470231,27277294.16000005,0.6832554135406855,16162618.18,0.8656608580684542,5904775.029999999,0.7649154155915289,28274121.590000004,0.782960821960332,,,103449820.69000006,0.7702772565734094,0,,,,(=) COSTO MATERIALES,7270516.739999998,0.8676619025516533,8105785.009999989,0.6629771419113619,,,15376301.749999989,0.7462131544212012,54200462.88999997,0.40534199306526203,56751915.88999993,0.4244232146838165,,,110952378.77999991,0.8297652077490786,37883515.480000004,0.7376488999072964,56894781.930000216,0.7328492066762258,,,94778297.4100002,0.7347601629691318,9487661.319999997,0.8776128033745103,2140656.1599999964,0.6472448282137971,,,2140656.1599999964,0.6472448282137971,0,,2571021.8999999966,0.49642377600939813,6581078.719999999,0.7359454180649532,,,9152100.619999975,0.6480999850584553,36409487.87,0.7154411984970773,6558809.589999974,,,,42968297.45999998,0.680225246642693,10792050.650000006,0.6997189188091527,,,10792050.650000006,0.6997189188091527,6037441.790000003,0.7022232008868718,,,6037441.790000003,0.7022232008868718,10199812.899999999,0.9438246430181749,1645319.12,,,,11845132.020000003,0.9029714457997335,,419885297.9500003,0.76879311591448,,,,
