UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.43483843827178,Unnamed: 122,Unnamed: 123,19.968045553725872,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145
TRADICIONAL,41306674.16,0.4244812919032831,,44827435.26687306,0.497816501684401,,-3520761.1068730652,-0.07854031991597935,,43217046.980000004,0.4797543390565668,,41701472.379657045,0.41425178413326413,,1515574.6003429592,0.0363434313912209,,50384246.190000005,0.5951577345738605,,43960764.04212895,0.4269619538617841,,6423482.147871055,0.14611852837032666,,134907967.33,0.4958948882846488,,50140219.029999994,0.6549147414057712,,51489347.63751148,0.4147064938831245,,-1349128.6075114831,-0.026202091683301964,,50135722.8,0.5178913979031279,,54021256.14042803,0.4583403400148514,,-3885533.340428032,-0.07192600872381798,,45290588.67999999,0.45172074543130314,,54162078.08120479,0.4456956492346002,,-8871489.401204795,-0.1637952182688382,,145566530.51,0.5319836923160254,,45487114.16,0.49103462907784223,,65716541.5213211,0.5183171020161476,,-20229427.361321107,-0.3078285450362275,,38179752.5,0.5716937018235579,,56778953.62197304,0.473904728447693,,-18599201.121973038,-0.3275721008492711,,44318874.75,0.6254052650871008,,46804847.6858682,0.43424109627154456,,-2485972.9358682036,-0.05311357816081076,,127985741.41,0.5557757127519309,,42261645.89,0.4873707096932294,,51329096.2532322,0.4395797734235682,,-9067450.363232203,-0.1766532244888536,,0,,,0,,,0,,,0,,,0,,,0,,,42261645.89,0.4873707096932294,,450721885.14,0.5224695827513725,,510791792.6301979,0.4526795677151143,,-60069907.4901979,-0.11760155185909027,,434378092.76,0.3667310255898762,,355630436.22,0.3571613789084437,,,42261645.89,0.4873707096932294,,19436284.080000002,0.9920134453728328,,22825361.81,0.3400639609274683,
AUTOMOTRIZ,1432541.32,0.014721276950621351,,2883117.074016263,0.03201751889637961,,-1450575.7540162627,-0.5031275930795173,,1185021.07,0.01315497101107012,,2489964.7457413175,0.024734674329039915,,-1304943.6757413174,-0.524081185475904,,1653895.67,0.019536439951225892,,2621015.5218329653,0.0254561978775306,,-967119.8518329654,-0.3689866938127194,,4271458.0600000005,0.01570103129858092,,383270.54000000004,0.005006151378045753,,2358913.9696496692,0.018999210256310357,,-1975643.4296496692,-0.8375224595168594,,1867141.49,0.019287176135795715,,2752066.297924614,0.023349753279620546,,-884924.807924614,-0.32154923324047563,,807635.93,0.00805522548877375,,2752066.297924614,0.02264654568000817,,-1944430.3679246139,-0.7065347115332745,,3058047.96,0.011175863293166353,,1323321.56,0.014285292073699486,,3014167.8501079106,0.02377323439261183,,-1690846.2901079105,-0.5609662016822906,,1483978.6099999999,0.022220710440118172,,2752066.297924614,0.022970082194034822,,-1268087.6879246142,-0.4607765768146296,,841503.8,0.011874870697406475,,2752066.297924614,0.025532831433261564,,-1910562.497924614,-0.6942283691949593,,3648803.97,0.0158448636916704,,1005110.8800000001,0.011591162449778085,,3014167.8501079106,0.025813180385532417,,-2009056.9701079105,-0.6665378539008648,,0,,,0,,,0,,,0,,,0,,,0,,,1005110.8800000001,0.011591162449778085,,11983420.870000001,0.01389098934021864,,27389612.203154497,0.02427352590801121,,-15406191.333154496,-0.562483003369436,,25170257.53,0.021250414125830015,,22950661.970000003,0.023049461579255543,,,1005110.8800000001,0.011591162449778085,,156478.67,0.007986554627167115,,848632.2100000001,0.012643358431970071,
EMPAQUE,1093700.77,0.011239237368928266,,1795459.9057231937,0.019938895987704194,,-701759.1357231936,-0.39085202264125857,,967581.7,0.010741167002492153,,1480198.809997843,0.014703917222180915,,-512617.10999784316,-0.34631639110599616,,1112635.1,0.013142865788369963,,2070984.628774647,0.02011410999754141,,-958349.5287746468,-0.4627506720519117,,3173917.5700000003,0.01166669048500172,,1654778.5,0.021614162330701136,,2356768.086246552,0.018981926840939595,,-701989.586246552,-0.297861121908078,,1417056.67,0.014637895272036476,,2409334.294644685,0.020441862679873208,,-992277.6246446851,-0.41184721723766465,,771773.5000000001,0.0076975396188232095,,2685331.3949215203,0.022097389204217527,,-1913557.8949215203,-0.712596552716148,,3843608.67,0.014046753226312693,,369812.65,0.003992137570704132,,2079743.7516223006,0.016403278829384617,,-1709931.1016223007,-0.8221835503957985,,1023932.41,0.01533209807711606,,2478570.236630836,0.020687351210264406,,-1454637.826630836,-0.5868858607001392,,1040961.83,0.014689520275708344,,2032534.486921875,0.018857234826066167,,-991572.6569218751,-0.48785034807627764,,2434706.89,0.010572669597599883,,651937.26,0.00751828563205207,,1692301.2181121886,0.01449278168374805,,-1040363.9581121886,-0.6147628725769901,,0,,,0,,,0,,,0,,,0,,,0,,,651937.26,0.00751828563205207,,10104170.39,0.01171259231415468,,21081226.813595645,0.018682838641050182,,-10977056.423595645,-0.5207029230631091,,12155545.26,0.010262523948846943,,10048012.67,0.010091268055264632,,,651937.26,0.00751828563205207,,0,0,,651937.26,0.009712896065230028,
PROD HOGAR,53478025.24000001,0.5495581937771673,,40542098.081582576,0.4502270834315152,,12935927.158417434,0.3190739446287797,,44711967.989999995,0.49634952292987083,,54995335.160235226,0.5463096243155152,,-10283367.170235232,-0.18698617146842472,,31506185.830000002,0.37216295968654367,,54309018.80575494,0.527467738263144,,-22802832.975754935,-0.4198719379798222,,129696179.06,0.4767373899317685,,24381650.129999995,0.3184649448854818,,67953497.83623973,0.5473123690196255,,-43571847.70623973,-0.641200954971339,,43387485.00000001,0.4481835306890399,,58680100.31491514,0.49786804402565477,,-15292615.314915136,-0.2606099040875038,,53392363.4,0.5325264894610999,,61923088.276592456,0.5095604158811741,,-8530724.876592457,-0.13776323361793885,,121161498.53,0.44279369116449574,,45454998.650000006,0.49068794127775406,,55977841.659615874,0.44150638476185594,,-10522843.009615868,-0.18798229259359545,,26095917.229999997,0.39075348965920786,,57801313.20363917,0.48243783814800784,,-31705395.973639175,-0.5485238001762736,,24662909.13,0.34803034393978444,,56195945.605850704,0.5213688374691277,,-31533036.475850705,-0.5611265392172299,,96213825.01,0.4178067539587988,,42794859.02,0.4935198422249404,,60732992.643503845,0.5201142645071515,,-17938133.62350384,-0.29536060784619594,,0,,,0,,,0,,,0,,,0,,,0,,,42794859.02,0.4935198422249404,,389866361.62,0.45192683559425423,,569111231.5879296,0.5043640677358243,,-179244869.9679296,-0.3149557766902649,,712755728.48,0.6017560361750361,,607084471.72,0.6096978912662181,,,42794859.02,,,0,,,42794859.02,,
OTROS INGRESOS,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,0,,0,,,0,0,,,0,,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,,0,0,,0,0,,0,,,0.19000000000005457,1.6041070215894857e-10,,0.19000000000005457,1.908179252426073e-10,,,0,0,,0,0,,0,0,
TOTAL VENTAS,97310941.49000001,,,90048110.3281951,,,7262831.161804913,0.08065500914271645,,90081617.74000001,,,100666971.09563142,,,-10585353.355631433,-0.1051521987840039,,84656962.79,,,102961782.9984915,,,-18304820.208491493,-0.17778266532893738,,272049522.02000004,,,76559918.19999999,,,124158527.52964742,,,-47598609.32964744,-0.38336963458495843,,96807405.96000001,,,117862757.04791248,,,-21055351.087912466,-0.17864295401942146,,100262361.50999999,,,121522564.05064338,,,-21260202.540643387,-0.17494860075354735,,273629685.66999996,,,92635247.02000001,,,126788294.78266719,,,-34153047.76266719,-0.2693706688082702,,66783580.74999999,,,119810903.36016765,,,-53027322.61016767,-0.4425917935929455,,70864249.50999999,,,107785394.0765654,,,-36921144.566565394,-0.34254311433271245,,230283077.28,,,86713553.05000001,,,116768557.96495613,,,-30055004.914956145,-0.25738953566572303,,0,,,0,,,0,,,0,,,0,,,0,,,86713553.05000001,,,862675838.02,1,,1128373863.2348776,,,-265698025.21487764,-0.2354698507932127,,1184459624.22,1,,995713582.7700002,1,,,86713553.05000001,1,,19592762.750000004,1,,67120790.30000001,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,2761801.6100000003,0.027597940502542297,,2044286.3799897826,0.02219821020043116,,717515.2300102178,0.35098567257186536,,1120620.08,0.012287199380038194,,2282054.214238783,0.022166836522929098,,-1161434.1342387828,-0.5089423936522027,,1711685.2999999998,0.01981836393011903,,2338467.799243608,0.022207618514940002,,-626782.4992436082,-0.26803127220581996,,5594106.99,0.020148515598744438,,1438991.9800000002,0.01844887289680334,,2822547.1449597566,0.022228093061841054,,-1383555.1649597564,-0.4901796476386165,,2525166.36,0.02542133261046712,,2682204.7159669437,0.022250657984535113,,-157038.35596694378,-0.05854823646834539,,1733509.9799999997,0.016995883800747354,,2755336.4027665905,0.022170767229846525,,-1021826.4227665907,-0.3708535994881027,,5697668.32,0.020397817251381612,,2911400.1399999997,0.030470981730260426,,2880762.2686796915,0.02221626604054779,,30637.871320308186,0.010635334839465983,,2920339.0699999994,0.04189633922369561,,2717887.872480734,0.02218162641725743,,202451.19751926558,0.07448842888962878,,1488591.9200000004,0.02057406303027069,,2449806.256107742,0.022223448124687916,,-961214.3361077416,-0.39236340984569174,,7320331.13,0.030809032492363476,,3403017.2799999993,0.03776239228299978,,2649952.811971131,0.02219046942329753,,753064.4680288685,0.2841803312975645,,,,,,,,0,,,,,,,,,0,,,3403017.2799999993,0.03776239228299978,,22015123.72,0.024884535585964287,,25623305.866404768,0.022203959032551058,,-3608182.1464047693,-0.1408164178821098,,36573402.14,0.022245383472409928,,32285317.11,0.022251307757995123,,,3403017.2799999993,,,37674463.51999823,,,1790011.5900000003,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,-9625169.829999998,,,-9625169.829999998,,,,0,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
