UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.457127133804452,Unnamed: 122,Unnamed: 123,19.99699408018894,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,16.94872393510507,Unnamed: 134
TRADICIONAL,18438889.869999997,0.9004791550527854,,20781186.828724626,0.8145322669961271,,-2342296.958724629,-0.1127123767294661,,17486806.83,0.9277960385828407,,19250828.300490305,0.8359528229785909,,-1764021.4704903066,-0.09163353612402113,,19158004.880000003,0.9494454808891246,,18474679.47428092,0.8008363483194632,,683325.4057190828,0.03698713185635279,,55083701.58,0.9257370254275396,,16184884.4,0.9300174259215946,,21432531.295530073,0.8206074585102681,,-5247646.895530073,-0.244844942632815,,16670187.99,0.9478202482706574,,21859969.69006356,0.8132505112199945,,-5189781.700063558,-0.23741028801254796,,14198407.090000002,0.9228683034920526,,21076515.3550696,0.7952649430687772,,-6878108.265069598,-0.3263399166890833,,47053479.480000004,0.9340496171549622,,17179647.980000004,0.9379224650671045,,26073151.012557898,0.8458036113514417,,-8893503.032557894,-0.34109812919329996,,13979728.790000003,0.9285547537349632,,23783419.937041253,0.8225844395810591,,-9803691.14704125,-0.41220695648452926,,15596144.27,0.9388581689818247,,23047143.614261888,0.8364978903327611,,-7450999.344261888,-0.32329383063552863,,46755521.04000001,0.9354118451067317,,16766287.020000001,0.9438271744694713,,25549070.5100343,0.8602359839907445,,-8782783.490034299,-0.3437613703631564,,,,,,,,,,,,,,,,,,,,16766287.020000001,0.9438271744694713,,165658989.12000003,0.9326261749210999,,221328496.01805443,0.8255366918432028,,-55669506.89805439,-0.2515243536174089,,198508616.37,0.880807961875057,,164759000,0.8706310866416377
AUTOMOTRIZ,1058960.94,0.05171527457499281,,2213898.895384146,0.08677522131050205,,-1154937.955384146,-0.521676015915689,,604868.1499999999,0.03209243853898805,,1912003.591468126,0.08302732614327435,,-1307135.4414681261,-0.683646959294907,,457859.93999999994,0.022690935388944615,,2012635.3594401327,0.08724327553268152,,-1554775.4194401328,-0.7725072562933776,,2121689.03,0.035657118806038696,,924042.2399999999,0.05309740645954964,,1811371.8234961198,0.06935369453099861,,-887329.58349612,-0.4898660628293806,,573678.75,0.03261776865256577,,2113267.1274121394,0.0786193025918754,,-1539588.3774121394,-0.7285346738429067,,699423.04,0.045461110549694345,,2113267.1274121394,0.07973838338348903,,-1413844.0874121394,-0.6690323570894239,,2197144.03,0.043615085701114026,,830237.94,0.04532682021095956,,2314530.663356153,0.0750825396097082,,-1484292.723356153,-0.6412931774271139,,601510.17,0.039953216272189625,,2113267.1274121394,0.07309044116822021,,-1511756.9574121395,-0.7153648196209837,,743948.76,0.04478429787120063,,2113267.1274121394,0.07670119661578909,,-1369318.3674121394,-0.6479627443450449,,2175696.87,0.04352796372044538,,472696.08,0.026609553148947293,,2314530.663356153,0.07793013690603565,,-1841834.5833561528,-0.7957702235344016,,,,,,,,,,,,,,,,,,,,472696.08,0.026609553148947293,,6967226.01,0.03922405525974935,,21032039.50614939,0.07844774002894678,,-14064813.49614939,-0.6687327442513167,,19908036.680000003,0.08833448912041642,,18613385.630000003,0.09835816044723959
EMPAQUE,978902.89,0.04780557037222165,,2517945.09216881,0.09869251169337101,,-1539042.2021688097,-0.6112294533170972,,756009.32,0.0401115228781713,,1865774.2342790621,0.08101985087813475,,-1109764.9142790623,-0.5948012861844869,,562234.1499999999,0.02786358372193076,,2581917.1174130505,0.11192037614785529,,-2019682.9674130506,-0.782241596289764,,2297146.36,0.03860585576642178,,293848.78,0.01688516761885559,,2873981.958985067,0.11003884695873337,,-2580133.1789850667,-0.8977555238016276,,344054.62,0.01956198307677673,,2906512.273945606,0.10813018618813007,,-2562457.6539456057,-0.8816262972346082,,487254.65,0.031670585958253,,3312725.315409252,0.12499667354773389,,-2825470.665409252,-0.8529142613383854,,1125158.05,0.022335297143923856,,306817.88,0.016750714721935938,,2438801.7566852793,0.07911384903885017,,-2131983.8766852794,-0.8741931855842952,,474123.94,0.03149202999284726,,3016356.7431271505,0.10432511925072065,,-2542232.8031271505,-0.8428156944365736,,271728.42,0.01635753314697468,,2391533.9561107717,0.0868009130514498,,-2119805.536110772,-0.8863790249326429,,1052670.24,0.021060191172822953,,525166.39,0.02956327238158138,,1836470.6505164024,0.061833879103219844,,-1311304.2605164023,-0.7140349670971724,,,,,,,,,,,,,,,,,,,,525166.39,0.02956327238158138,,5000141.039999999,0.02814976981915081,,25742019.09864045,0.09601556812785045,,-20741878.05864045,-0.8057595629604641,,6954398.260000001,0.030857549004526585,,5868502.420000001,0.0310107529111228
PROD HOGAR,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0
OTROS INGRESOS,0,0,,,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,0,0,,0,,,0,0,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,,0,,,,,,0,
TOTAL VENTAS,20476753.7,,,25513030.81627758,,,-5036277.116277585,-0.19740018943826862,,18847684.299999997,,,23028606.126237493,,,-4180921.826237495,-0.18155340376741214,,20178098.970000003,,,23069231.951134104,,,-2891132.981134101,-0.12532419749639612,,59502536.97,,,17402775.42,,,26117885.07801126,,,-8715109.65801126,-0.33368359007554327,,17587921.360000003,,,26879749.091421306,,,-9291827.731421303,-0.34568134173494935,,15385084.780000003,,,26502507.79789099,,,-11117423.01789099,-0.4194856993410898,,50375781.56,,,18316703.800000004,,,30826483.43259933,,,-12509779.632599328,-0.40581273760762804,,15055362.900000002,,,28913043.807580546,,,-13857680.90758054,-0.47928820638203706,,16611821.45,,,27551944.6977848,,,-10940123.247784799,-0.39707263381173946,,49983888.150000006,,,17764149.490000002,,,29700071.823906854,,,-11935922.333906855,-0.4018819349890972,,,,,,,,,,,,,,,,,,,,17764149.490000002,,,177626356.17000002,1,,268102554.62284425,,,-90476198.45284423,-0.33746861748528456,,225371051.31,1,,189240888.04999998,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,144676.85000000003,0.007015849344166864,,82415.51693482824,0.003219928883517325,,62261.3330651718,0.755456440495377,,70596,0.00373162882040605,,74272.68220734523,0.0032148669792699688,,-3676.682207345235,-0.04950248325597197,,46863.68000000001,0.0023171207191327,,74403.71006745177,0.0032148669792699688,,-27540.030067451764,-0.37014323670802096,,262136.53000000003,0.004386145102926063,,139660.06000000003,0.007961269697085414,,84236.33491724644,0.0032148669792699688,,55423.72508275359,0.6579550871628225,,303522.57000000007,0.0169646771488946,,86693.52591886534,0.0032148669792699688,,216829.04408113472,2.501098459002123,,38323.62,0.0024847698385526765,,85476.83383788256,0.0032148669792699688,,-47153.213837882555,-0.5516490459545388,,481506.2500000001,0.009467792537401536,,398339.19,0.021284438951748294,,99422.67434722595,0.003214866979269969,,298916.515652774,3.0065225826538455,,370348.57999999996,0.024008525018775984,,93251.38059141142,0.003214866979269969,,277097.1994085885,2.971507742311212,,430315.11000000004,0.025250068175724092,,88861.51517444287,0.003214866979269969,,341453.5948255572,3.8425362673059777,,1199002.88,0.023425852972963644,,455514.79999999993,0.02500127295155557,,95789.73143316216,0.003214866979269969,,359725.06856683776,3.7553614900553094,,,,,,,,,,,,,,,,,,,,455514.79999999993,0.02500127295155557,,2398160.4600000004,0.013321299259083033,,864823.9054298619,0.0032153486796873795,,1533336.5545701385,1.7730043595499265,,971248.92,0.004291062337941497,,684098.73,0.0036019417012908748
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
