UREBLOCK SA DE CV,20.564370967741933,Unnamed: 2,Unnamed: 3,18,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,20.459935714285706,Unnamed: 11,Unnamed: 12,18.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,20.374246666666668,Unnamed: 20,Unnamed: 21,18.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,T1,Unnamed: 29,Unnamed: 30,20.098163333333336,Unnamed: 32,Unnamed: 33,18.3,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,19.46746774193548,Unnamed: 41,Unnamed: 42,18.4,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,19.07029,Unnamed: 50,Unnamed: 51,19,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,T2,Unnamed: 59,Unnamed: 60,18.68416129032258,Unnamed: 62,Unnamed: 63,19.1,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,18.72754193548387,Unnamed: 71,Unnamed: 72,19.2,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,18.525080000000003,Unnamed: 80,Unnamed: 81,19.3,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,T3,Unnamed: 89,Unnamed: 90,18.4134709677419,Unnamed: 92,Unnamed: 93,19.4,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,20.29187,Unnamed: 101,Unnamed: 102,19.5,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,20.26635333333333,Unnamed: 110,Unnamed: 111,19.6,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,T4,Unnamed: 119,Unnamed: 120,19.323754792205936,Unnamed: 122,Unnamed: 123,,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133
TRADICIONAL,39616.53,0.013844630281920862,,0,,,39616.53,,,685544.3200000001,0.2235937630446744,,,,,685544.3200000001,,,250023.53000000003,0.07571500237369934,,,,,250023.53000000003,,,975184.3800000001,0.10565720007701139,,394310.91,0.11285804275256921,,,,,394310.91,,,910869.71,0.2883264707673689,,,,,910869.71,,,-114689.45,-0.0496264805158316,,,,,-114689.45,,,1190491.17,0.13280683405364813,,511894.4,0.13063323485647133,,,,,511894.4,,,199190.18,0.06338953292954692,,,,,199190.18,,,591584.48,0.16416124942530955,,,,,591584.48,,,1302669.06,0.12214934085376813,,429093.58,0.08456771175967889,,,,,429093.58,,,,,,,,,,,,,,,,,,,,,429093.58,0.08456771175967889,,3897438.19,0.11485921588144014,,0,,,3897438.19,,,,,,
AUTOMOTRIZ,1339710,0.4681830951623526,,0,,,1339710,,,1335597,0.43561174737933495,,,,,1335597,,,1697903.85,0.5141787816253264,,,,,1697903.85,,,4373210.85,0.4738193343062026,,1480808.1,0.4238307883952559,,,,,1480808.1,,,847558.5,0.2682859561483113,,,,,847558.5,,,1189048.95,0.5145051663387088,,,,,1189048.95,,,3517415.55,0.39238999416230147,,1389818.73,0.35467572328201424,,,,,1389818.73,,,1277406.51,0.4065170382900533,,,,,1277406.51,,,1096601.34,0.30430048823435785,,,,,1096601.34,,,3763826.58,0.35292842207743264,,1205478,0.23758107971840126,,,,,1205478,,,,,,,,,,,,,,,,,,,,,1205478,0.23758107971840126,,12859930.979999999,0.37898781626405725,,0,,,12859930.979999999,,,,,,
EMPAQUE,1482182.17,0.5179722745557265,,0,,,1482182.17,,,1044884.81,0.3407944895759907,,,,,1044884.81,,,1354238.9300000002,0.4101062160009742,,,,,1354238.9300000002,,,3881305.91,0.42052346561678594,,1618747.27,0.4633111688521748,,,,,1618747.27,,,1400732.68,0.4433875730843199,,,,,1400732.68,,,1236693.97,0.5351213141771229,,,,,1236693.97,,,4256173.92,0.4748031717840503,,2016848.6400000001,0.5146910418615145,,,,,2016848.6400000001,,,1665723.04,0.5300934287803998,,,,,1665723.04,,,1915493.38,0.5315382623403325,,,,,1915493.38,,,5598065.0600000005,0.5249222370687994,,3439393.07,0.6778512085219197,,,,,3439393.07,,,,,,,,,,,,,,,,,,,,,3439393.07,0.6778512085219197,,17174937.959999997,0.5061529678545026,,0,,,17174937.959999997,,,,,,
PROD HOGAR,0,0,,0,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,,,,0,,,0,0,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,0,,,,,,
OTROS INGRESOS,,0,,0,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,0,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,0,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,,0,,,,,,
TOTAL VENTAS,2861508.7,,,0,,,2861508.7,,,3066026.13,,,,,,3066026.13,,,3302166.3100000005,,,,,,3302166.3100000005,,,9229701.14,,,3493866.2800000003,,,,,,3493866.2800000003,,,3159160.8899999997,,,,,,3159160.8899999997,,,2311053.4699999997,,,,,,2311053.4699999997,,,8964080.64,,,3918561.77,,,,,,3918561.77,,,3142319.73,,,,,,3142319.73,,,3603679.2,,,,,,3603679.2,,,10664560.7,,,5073964.65,,,,,,5073964.65,,,,,,,,,,,,,,,,,,,,,5073964.65,,,33932307.129999995,,,0,,,33932307.129999995,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(+)TRANSFERENCIAS ENVIADAS,23860.199999999997,0.008269375884657242,,0,,,23860.199999999997,,,0,0,,,,,0,,,17179.56,0.005175585995803444,,,,,17179.56,,,41039.759999999995,0.00442680476594918,,0,0,,,,,0,,,45386.64,0.014163197635580086,,,,,45386.64,,,0,0,,,,,0,,,45386.64,0.005037660783868233,,11033.11,0.0028076965531876916,,,,,11033.11,,,14118.179999999998,0.004472820439544144,,,,,14118.179999999998,,,93721.68,0.02534798985605261,,,,,93721.68,,,118872.96999999999,0.011023665896949869,,11243.7,0.002211059847724823,,,,,11243.7,,,,,,,,,,,,,,,,,,,,,11243.7,0.002211059847724823,,216543.07,0.006341152593184529,,0,,,216543.07,,,,,,
(+)P.T. PENDIENTE TRANSFERIR,0,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
