UNIDAD DE NEGOCIO,CUENTA MAYOR,Obj,,Descripción de cuenta,N  D,V  c,Largo,,,,,,
,,400,0204,Ventas Bolsas de Plastico,6,M,25,,,,,,
,,400,0205,Ventas Carton,6,M,13,,,,,,
,,400,0206,Ventas Empaque,6,M,14,,,,,,
,,400,0207,Ventas Colchones,6,M,16,,,,,,
,,400,0208,Ventas Almohadas,6,M,16,,,,,,
,,400,0209,Ventas Cojines,6,M,14,,,,,,
,,400,0210,Ventas Edredones,6,M,16,,,,,,
,,400,0211,Venta Resortes,6,M,14,,,,,,
,,400,0212,Venta de Tela,6,M,13,,,,,,
,,400,0213,Ventas Varios,6,M,13,,,,,,
,,400,03,VENTAS EXPORTACION,6,N,,,,,,,
,,400,0301,Ventas Espuma,7,M,13,,,,,,
,,400,0302,Ventas Poliet Espumado,6,M,22,,,,,,
,,400,0303,Ventas Eps,6,M,10,,,,,,
,,400,0304,Ventas Bolsas de Plastico,6,M,25,,,,,,
,,400,0305,Ventas Carton,6,M,13,,,,,,
,,400,0306,Ventas Empaque,6,M,14,,,,,,
,,400,0307,Ventas Colchones,6,M,16,,,,,,
,,400,0308,Ventas Almohadas,6,M,16,,,,,,
,,400,0309,Ventas Cojines,6,M,14,,,,,,
,,400,0310,Ventas Edredones,6,M,16,,,,,,
,,400,0311,Venta Resortes,6,M,14,,,,,,
,,400,0312,Venta de Tela,6,M,13,,,,,,
,,400,0313,Ventas Varios,6,M,13,,,,,,
,,400,0314,Ventas Madera,6,M,13,,,,,,
,,400,0315,Ventas Fundas,6,M,13,,,,,,
,,400,0316,Ventas Scrap,6,M,12,,,,,,
,,400,04,VENTAS PARTES RELACIONADAS,6,N,,,,,,,
,,400,0401,Ventas Espuma,7,M,13,,,,,,
,,400,0402,Ventas Poliet Espumado,6,M,22,,,,,,
,,400,0403,Ventas Eps,6,M,10,,,,,,
,,400,0404,Ventas Bolsas de Plastico,6,M,25,,,,,,
,,400,0405,Ventas Carton,6,M,13,,,,,,
,,400,0406,Ventas Empaque,6,M,14,,,,,,
,,400,0407,Ventas Colchones,6,M,16,,,,,,
,,400,0408,Ventas Almohadas,6,M,16,,,,,,
,,400,0409,Ventas Cojines,6,M,14,,,,,,
,,400,0410,Ventas Edredones,6,M,16,,,,,,
,,400,0411,Venta Resortes,6,M,14,,,,,,
,,400,0412,Venta de Tela,6,M,13,,,,,,
,,400,0413,Ventas Varios,6,M,13,,,,,,
,,400,0414,Ventas Madera,6,M,13,,,,,,
,,400,05,VENTAS 8%,6,N,,,,,,,
,,400,0501,Ventas Espuma,7,M,13,,,,,,
,,400,0502,Ventas Poliet Espumado,6,M,22,,,,,,
,,400,0503,Ventas Eps,6,M,10,,,,,,
,,400,0504,Ventas Bolsas de Plastico,6,M,25,,,,,,
,,400,0505,Ventas Carton,6,M,13,,,,,,
,,400,0506,Ventas Empaque,6,M,14,,,,,,
,,400,0507,Ventas Colchones,6,M,16,,,,,,
,,400,0508,Ventas Almohadas,6,M,16,,,,,,
,,400,0509,Ventas Cojines,6,M,14,,,,,,
,,400,0510,Ventas Edredones,6,M,16,,,,,,
,,400,0511,Venta Resortes,6,M,14,,,,,,
,,400,0512,Venta de Tela,6,M,13,,,,,,
,,400,0513,Ventas Varios,6,M,13,,,,,,
,,400,0514,Ventas Madera,6,M,13,,,,,,
,,400,99,Act. B-10 Ventas,6,X,16,,,,,,
XXXXX,450,450,,DEVOLUCIONES S/VENTA,5,N,20,,,,,,
,,450,01,DEVOLUCIONES S/VENTA 16%,6,N,24,,,,,,
,,450,0101,Devs S/Vtas Espuma,7,M,18,,,,,,
,,450,0102,Devs S/Vtas Poliet Espumado,7,M,27,,,,,,
,,450,0103,Devs S/Vtas Eps,7,M,15,,,,,,
,,450,0104,Devs S/Vtas Bolsas de Plastico,7,M,30,,,,,,
,,450,0105,Devs S/Vtas Carton,7,M,18,,,,,,
,,450,0106,Devs S/Vtas Empaque,7,M,19,,,,,,
,,450,0107,Devs S/Vtas Colchones,7,M,21,,,,,,
,,450,0108,Devs S/Vtas Almohadas,7,M,21,,,,,,
,,450,0109,Devs S/Vtas Cojines,7,M,19,,,,,,
,,450,0110,Devs S/Vtas Edredones,7,M,21,,,,,,
,,450,0111,Devs S/Vtas Resortes,7,M,20,,,,,,
,,450,0112,Devs S/Vtas Tela,7,M,16,,,,,,
,,450,0113,Devs S/Vtas Varios,7,M,18,,,,,,
,,450,0114,Devs S/Vtas Madera,7,M,18,,,,,,
,,450,0115,Devs S/Vtas Fundas,7,M,18,,,,,,
,,450,0116,Devs S/Vtas Scrap,7,M,17,,,,,,
,,450,02,DEVOLUCIONES S/VENTA 11%,6,N,24,,,,,,
,,450,0201,Devs S/Vtas Espuma,7,M,18,,,,,,
,,450,0202,Devs S/Vtas Poliet Espumado,7,M,27,,,,,,
,,450,0203,Devs S/Vtas Eps,7,M,15,,,,,,
,,450,0204,Devs S/Vtas Bolsas de Plastico,7,M,30,,,,,,
,,450,0205,Devs S/Vtas Carton,7,M,18,,,,,,
,,450,0206,Devs S/Vtas Empaque,7,M,19,,,,,,
,,450,0207,Devs S/Vtas Colchones,7,M,21,,,,,,
,,450,0208,Devs S/Vtas Almohadas,7,M,21,,,,,,
,,450,0209,Devs S/Vtas Cojines,7,M,19,,,,,,
,,450,0210,Devs S/Vtas Edredones,7,M,21,,,,,,
,,450,0211,Devs S/Vtas Resortes,7,M,20,,,,,,
,,450,0212,Devs S/Vtas Tela,7,M,16,,,,,,
,,450,0213,Devs S/Vtas Varios,7,M,18,,,,,,
,,450,03,DEVOLUCIONES S/VENTA EXPORT,6,N,27,,,,,,
,,450,0301,Devs S/Vtas Espuma,7,M,18,,,,,,
,,450,0302,Devs S/Vtas Poliet Espumado,7,M,27,,,,,,
,,450,0303,Devs S/Vtas Eps,7,M,15,,,,,,
,,450,0304,Devs S/Vtas Bolsas de Plastico,7,M,30,,,,,,
,,450,0305,Devs S/Vtas Carton,7,M,18,,,,,,
,,450,0306,Devs S/Vtas Empaque,7,M,19,,,,,,
,,450,0307,Devs S/Vtas Colchones,7,M,21,,,,,,
,,450,0308,Devs S/Vtas Almohadas,7,M,21,,,,,,
,,450,0309,Devs S/Vtas Cojines,7,M,19,,,,,,
,,450,0310,Devs S/Vtas Edredones,7,M,21,,,,,,
,,450,0311,Devs S/Vtas Resortes,7,M,20,,,,,,
,,450,0312,Devs S/Vtas Tela,7,M,16,,,,,,
,,450,0313,Devs S/Vtas Varios,7,M,18,,,,,,
,,450,0314,Devs S/Vtas Madera,7,M,18,,,,,,
,,450,0315,Devs S/Vtas Fundas,7,M,18,,,,,,
,,450,0316,Devs S/Vtas Scrap,7,M,17,,,,,,
,,450,05,DEVOLUCIONES S/VENTA 8%,6,N,23,,,,,,
,,450,0501,Devs S/Vtas Espuma,7,M,18,,,,,,
,,450,0502,Devs S/Vtas Poliet Espumado,7,M,27,,,,,,
,,450,0503,Devs S/Vtas Eps,7,M,15,,,,,,
,,450,0504,Devs S/Vtas Bolsas de Plastico,7,M,30,,,,,,
,,450,0505,Devs S/Vtas Carton,7,M,18,,,,,,
,,450,0506,Devs S/Vtas Empaque,7,M,19,,,,,,
,,450,0507,Devs S/Vtas Colchones,7,M,21,,,,,,
,,450,0508,Devs S/Vtas Almohadas,7,M,21,,,,,,
,,450,0509,Devs S/Vtas Cojines,7,M,19,,,,,,
,,450,0510,Devs S/Vtas Edredones,7,M,21,,,,,,
,,450,0511,Devs S/Vtas Resortes,7,M,20,,,,,,
,,450,0512,Devs S/Vtas Tela,7,M,16,,,,,,
,,450,0513,Devs S/Vtas Varios,7,M,18,,,,,,
,,450,0514,Devs S/Vtas Madera,7,M,18,,,,,,
,,450,99,Act. B-10 Devs S/Vtas,6,X,21,,,,,,
,460,460,,DESCUENTOS S/VENTA,5,N,18,,,,,,
,,460,01,DESCUENTOS S/VENTA 16%,,,,,,,,,
,,460,0101,Desctos S/Vtas Espuma,7,M,21,,,,,,
,,460,0102,Desctos S/Vtas Poliet Espumado,7,M,30,,,,,,
,,460,0103,Desctos S/Vtas Eps,7,M,18,,,,,,
,,460,0104,Desctos S/Vtas Bolsas Plastico,7,M,30,,,,,,
,,460,0105,Desctos S/Vtas Carton,7,M,21,,,,,,
,,460,0106,Desctos S/Vtas Empaque,7,M,22,,,,,,
,,460,0107,Desctos S/Vtas Colchones,7,M,24,,,,,,
,,460,0108,Desctos S/Vtas Almohadas,7,M,24,,,,,,
,,460,0109,Desctos S/Vtas Cojines,7,M,22,,,,,,
,,460,0110,Desctos S/Vtas Edredones,7,M,24,,,,,,
,,460,0111,Desctos S/Vtas Resortes,7,M,23,,,,,,
,,460,0112,Desctos S/Vtas Tela,7,M,19,,,,,,
,,460,0113,Desctos S/Vtas Varios,7,M,21,,,,,,
,,460,0114,Desctos S/Vtas Madera,7,M,21,,,,,,
,,460,0115,Desctos S/Vtas Fundas,7,M,21,,,,,,
,,460,0116,Desctos S/Vtas Scrap,7,M,20,,,,,,
,,460,02,DESCUENTOS S/VENTA 11%,,,,,,,,,
,,460,0201,Desctos S/Vtas Espuma,7,M,21,,,,,,
,,460,0202,Desctos S/Vtas Poliet Espumado,7,M,30,,,,,,
,,460,0203,Desctos S/Vtas Eps,7,M,18,,,,,,
,,460,0204,Desctos S/Vtas Bolsas Plastico,7,M,30,,,,,,
,,460,0205,Desctos S/Vtas Carton,7,M,21,,,,,,
,,460,0206,Desctos S/Vtas Empaque,7,M,22,,,,,,
,,460,0207,Desctos S/Vtas Colchones,7,M,24,,,,,,
,,460,0208,Desctos S/Vtas Almohadas,7,M,24,,,,,,
,,460,0209,Desctos S/Vtas Cojines,7,M,22,,,,,,
,,460,0210,Desctos S/Vtas Edredones,7,M,24,,,,,,
,,460,0211,Desctos S/Vtas Resortes,7,M,23,,,,,,
,,460,0212,Desctos S/Vtas Tela,7,M,19,,,,,,
,,460,0213,Desctos S/Vtas Varios,7,M,21,,,,,,
,,460,03,DESCUENTOS S/VENTA EXPORT,,,25,,,,,,
,,460,0301,Desctos S/Vtas Espuma,7,M,21,,,,,,
,,460,0302,Desctos S/Vtas Poliet Espumado,7,M,30,,,,,,
,,460,0303,Desctos S/Vtas Eps,7,M,18,,,,,,
,,460,0304,Desctos S/Vtas Bolsas Plastico,7,M,30,,,,,,
,,460,0305,Desctos S/Vtas Carton,7,M,21,,,,,,
,,460,0306,Desctos S/Vtas Empaque,7,M,22,,,,,,
,,460,0307,Desctos S/Vtas Colchones,7,M,24,,,,,,
,,460,0308,Desctos S/Vtas Almohadas,7,M,24,,,,,,
,,460,0309,Desctos S/Vtas Cojines,7,M,22,,,,,,
,,460,0310,Desctos S/Vtas Edredones,7,M,24,,,,,,
,,460,0311,Desctos S/Vtas Resortes,7,M,23,,,,,,
,,460,0312,Desctos S/Vtas Tela,7,M,19,,,,,,
,,460,0313,Desctos S/Vtas Varios,7,M,21,,,,,,
,,460,0314,Desctos S/Vtas Madera,7,M,21,,,,,,
,,460,0315,Desctos S/Vtas Fundas,7,M,21,,,,,,
,,460,0316,Desctos S/Vtas Scrap,7,M,20,,,,,,
,,460,05,DESCUENTOS S/VENTA 8%,,,,,,,,,
,,460,0501,Desctos S/Vtas Espuma,7,M,21,,,,,,
,,460,0502,Desctos S/Vtas Poliet Espumado,7,M,30,,,,,,
,,460,0503,Desctos S/Vtas Eps,7,M,18,,,,,,
,,460,0504,Desctos S/Vtas Bolsas Plastico,7,M,30,,,,,,
,,460,0505,Desctos S/Vtas Carton,7,M,21,,,,,,
,,460,0506,Desctos S/Vtas Empaque,7,M,22,,,,,,
,,460,0507,Desctos S/Vtas Colchones,7,M,24,,,,,,
,,460,0508,Desctos S/Vtas Almohadas,7,M,24,,,,,,
,,460,0509,Desctos S/Vtas Cojines,7,M,22,,,,,,
,,460,0510,Desctos S/Vtas Edredones,7,M,24,,,,,,
,,460,0511,Desctos S/Vtas Resortes,7,M,23,,,,,,
,,460,0512,Desctos S/Vtas Tela,7,M,19,,,,,,
,,460,0513,Desctos S/Vtas Varios,7,M,21,,,,,,
,,460,99,Act. B-10 Desctos S/Vtas,6,X,24,,,,,,
XXXXX,50,50,,EGRESOS,4,N,7,,,,,,
XXXXX,500,500,,COSTO DE VENTAS,5,N,15,,,,,,
,,500,01,COSTO DE VENTAS 16%,6,N,19,,,,,,
,,500,0101,Costo de Ventas Espuma,7,M,22,,,,,,
,,500,0102,Costo Ventas Poliet Espumado,7,M,28,,,,,,
,,500,0103,Costo de Ventas Eps,7,M,19,,,,,,
,,500,0104,Costo Ventas Bolsa de Plastico,7,M,30,,,,,,
,,500,0105,Costo de Ventas Carton,7,M,22,,,,,,
,,500,0106,Costo de Ventas Empaque,7,M,23,,,,,,
,,500,0107,Costo de Ventas Colchones,7,M,25,,,,,,
,,500,0108,Costo de Ventas Almohadas,7,M,25,,,,,,
,,500,0109,Costo de Ventas Cojines,7,M,23,,,,,,
,,500,0110,Costo de Ventas Edredones,7,M,25,,,,,,
,,500,0111,Costo de Ventas Resortes,7,M,24,,,,,,
,,500,0112,Costo de Ventas Tela,7,M,20,,,,,,
,,500,0113,Costo de Ventas Varios,7,M,22,,,,,,
,,500,0114,Costo de Ventas Madera,7,M,22,,,,,,
,,500,0115,Costo de Ventas Fundas,7,M,22,,,,,,
,,500,0116,Costo de Ventas Scrap,7,M,21,,,,,,
,,500,02,COSTO DE VENTAS 11%,6,N,19,,,,,,
,,500,0201,Costo de Ventas Espuma,7,M,22,,,,,,
,,500,0202,Costo Ventas Poliet Espumado,7,M,28,,,,,,
,,500,0203,Costo de Ventas Eps,7,M,19,,,,,,
,,500,0204,Costo Ventas Bolsa de Plastico,7,M,30,,,,,,
,,500,0205,Costo de Ventas Carton,7,M,22,,,,,,
,,500,0206,Costo de Ventas Empaque,7,M,23,,,,,,
,,500,0207,Costo de Ventas Colchones,7,M,25,,,,,,
,,500,0208,Costo de Ventas Almohadas,7,M,25,,,,,,
,,500,0209,Costo de Ventas Cojines,7,M,23,,,,,,
,,500,0210,Costo de Ventas Edredones,7,M,25,,,,,,
,,500,0211,Costo de Ventas Resortes,7,M,24,,,,,,
,,500,0212,Costo de Ventas Tela,7,M,20,,,,,,
,,500,0213,Costo de Ventas Varios,7,M,22,,,,,,
,,500,03,COSTO DE VENTAS EXPORT,6,N,22,,,,,,
,,500,0301,Costo de Ventas Espuma,7,M,22,,,,,,
,,500,0302,Costo Ventas Poliet Espumado,7,M,28,,,,,,
,,500,0303,Costo de Ventas Eps,7,M,19,,,,,,
,,500,0304,Costo Ventas Bolsa de Plastico,7,M,30,,,,,,
,,500,0305,Costo de Ventas Carton,7,M,22,,,,,,
,,500,0306,Costo de Ventas Empaque,7,M,23,,,,,,
,,500,0307,Costo de Ventas Colchones,7,M,25,,,,,,
,,500,0308,Costo de Ventas Almohadas,7,M,25,,,,,,
,,500,0309,Costo de Ventas Cojines,7,M,23,,,,,,
,,500,0310,Costo de Ventas Edredones,7,M,25,,,,,,
,,500,0311,Costo de Ventas Resortes,7,M,24,,,,,,
,,500,0312,Costo de Ventas Tela,7,M,20,,,,,,
,,500,0313,Costo de Ventas Varios,7,M,22,,,,,,
,,500,0314,Costo de Ventas Madera,7,M,22,,,,,,
,,500,0315,Costo de Ventas Fundas,7,M,22,,,,,,
,,500,0316,Costo de Ventas Scrap,7,M,21,,,,,,
,,500,04,DESCUENTOS S/COMPRA,6,N,19,,,,,,
,,500,0401,Desctos s/compra 16%,7,M,20,,,,,,
,,500,0402,Desctos s/compra 11%,7,M,20,,,,,,
,,500,0403,Desctos s/compra Exportacion,7,M,28,,,,,,
,,500,0405,Desctos s/compra 8%,7,M,19,,,,,,
,,500,05,COSTO DE VENTAS PARTE RELACIONADA,6,N,33,,,,,,
,,500,0501,Costo de Ventas Espuma,7,M,22,,,,,,
,,500,0502,Costo Ventas Poliet Espumado,7,M,28,,,,,,
,,500,0503,Costo de Ventas Eps,7,M,19,,,,,,
,,500,0504,Costo Ventas Bolsa de Plastico,7,M,30,,,,,,
,,500,0505,Costo de Ventas Carton,7,M,22,,,,,,
,,500,0506,Costo de Ventas Empaque,7,M,23,,,,,,
,,500,0507,Costo de Ventas Colchones,7,M,25,,,,,,
,,500,0508,Costo de Ventas Almohadas,7,M,25,,,,,,
,,500,0509,Costo de Ventas Cojines,7,M,23,,,,,,
,,500,0510,Costo de Ventas Edredones,7,M,25,,,,,,
,,500,0511,Costo de Ventas Resortes,7,M,24,,,,,,
,,500,0512,Costo de Ventas Tela,7,M,20,,,,,,
,,500,0513,Costo de Ventas Varios,7,M,22,,,,,,
,,500,0514,Costo de Ventas Madera,7,M,22,,,,,,
,,500,06,COSTO DE VENTAS 8%,6,N,18,,,,,,
,,500,0601,Costo de Ventas Espuma,7,M,22,,,,,,
,,500,0602,Costo Ventas Poliet Espumado,7,M,28,,,,,,
,,500,0603,Costo de Ventas Eps,7,M,19,,,,,,
,,500,0604,Costo Ventas Bolsa de Plastico,7,M,30,,,,,,
,,500,0605,Costo de Ventas Carton,7,M,22,,,,,,
,,500,0606,Costo de Ventas Empaque,7,M,23,,,,,,
,,500,0607,Costo de Ventas Colchones,7,M,25,,,,,,
,,500,0608,Costo de Ventas Almohadas,7,M,25,,,,,,
,,500,0609,Costo de Ventas Cojines,7,M,23,,,,,,
,,500,0610,Costo de Ventas Edredones,7,M,25,,,,,,
,,500,0611,Costo de Ventas Resortes,7,M,24,,,,,,
,,500,0612,Costo de Ventas Tela,7,M,20,,,,,,
,,500,0613,Costo de Ventas Varios,7,M,22,,,,,,
,,500,0614,Costo de Ventas Madera,7,M,22,,,,,,
,,500,99,Act. B-10 Costo de Ventas,6,X,25,,,,,,
,501,501,,GASTOS DE FABRICACIÓN,5,N,21,,,,,,
,,501,01,GASTOS DIRECTOS DE FABRICACIÓN,6,N,30,,Solo modificar la descripción,,,,
,,501,0101,Servicios Especializados Directos,7,X,33,,Solo modificar la descripción,,,,
,,501,0102,Beneficio Serv Especializ Direct,7,X,32,,Solo modificar la descripción,,,,
,,501,0103,Servicios Especializados Indirectos,7,X,35,,Solo modificar la descripción,,,,
,,501,0104,Beneficio Serv Espec Indirect,7,X,29,,,,,,
,,501,0105,Combustibles,7,X,12,,,,,,
,,501,0106,Energia Electrica,7,X,17,,,,,,
,,501,0107,Depr. y Amortizaciones,7,N,22,,,,,,
,,501,010701,Edificios,8,X,9,,,,,,
,,501,010702,Maquinaria Y Equipo,8,X,19,,,,,,
,,501,010703,Equipo de Transporte,8,X,20,,,,,,
,,501,010704,Equipo de Oficina,8,X,17,,,,,,
,,501,010705,Equipo de Computo,8,X,17,,,,,,
,,501,010706,Equipo de Laboratorio,8,X,21,,,,,,
,,501,010706,Moldes y Troqueles,8,X,18,,,,,,
,,501,0108,Materiales Indirectos,7,X,21,,,,,,
,,501,0109,Eqpo de Proteccion Y Seguridad,7,X,30,,,,,,
,,501,0110,Diversos,7,X,8,,,,,,
,,501,0111,No Deducibles,7,X,13,,,,,,
,,501,0112,Herramientas Y Equipos Menores,7,X,30,,,,,,
,,501,0113,Pruebas de Laboratorio,7,X,22,,,,,,
,,501,0114,Mantenimiento,7,X,13,,,,,,
,,501,0115,Telefonos,7,X,9,,,,,,
,,501,0116,Arrendamiento de Equipos,7,X,24,,,,,,
,,501,0117,Arrendamiento de Inmuebles,7,N,26,,,,,,
,,501,011701,Arrendamiento PF,8,X,16,,,,,,
,,501,011702,Arrendamiento PM,8,X,16,,,,,,
,,501,0118,Fletes Mcia Sin Ret,7,X,19,,,,,,
,,501,0119,Fletes Mcia Con Ret,7,X,19,,,,,,
,,501,0120,Seguros Y Fianzas,7,X,17,,,,,,
,,501,0121,Honorarios Sin Ret,7,N,18,,,,,,
,,501,012101,Honorarios PM Nacional,8,X,22,,,,,,
,,501,012102,Honorarios a Extranjero,8,X,23,,,,,,
,,501,0122,Honorarios Con Ret,7,X,18,,,,,,
,,501,0123,Impuestos de Importación,7,X,24,,,,,,
,,501,0124,Gastos Aduanales,7,X,16,,,,,,
,,501,0125,Maquila,7,X,7,,,,,,
,,501,0126,Recoleccion de Basura y Residuos,7,X,32,,,,,,
,,501,0127,Fletes Interplanta Sin Ret,7,X,26,,,,,,
,,501,0128,Fletes Interplanta Con Ret,7,X,26,,,,,,
,,501,0129,Fletes Refacc Sin Ret,7,X,21,,,,,,
,,501,0130,Fletes Refacc Con Ret,7,X,21,,,,,,
,,501,0131,Fletes A.F. Sin Ret,7,X,19,,,,,,
,,501,0132,Fletes A.F. Con Ret,7,X,19,,,,,,
,,501,0199,Cierre Gastos x Centro Costos,7,X,29,,,,,,
,,501,02,      SUELDOS DIRECTOS FAB,6,N,,,,,,,
,,501,0201,Sueldos,7,X,,,,,,,
,,501,0202,Horas Extras Dobl,7,X,,,,,,,
,,501,0203,Horas Extras Triples,7,X,,,,,,,
,,501,0204,Gratificaciones,7,X,,,,,,,
,,501,0205,Bono de Productividad,7,X,,,,,,,
,,501,0206,Bono de Asistencia,7,X,,,,,,,
,,501,0207,Bono de Puntualidad,7,X,,,,,,,
,,501,0208,Vacaciones,7,X,,,,,,,
,,501,0209,Prima Vacacional,7,X,,,,,,,
,,501,0210,Aguinaldo,7,X,,,,,,,
,,501,0211,Despensas,7,X,,,,,,,
,,501,0212,Prima Dominical,7,X,,,,,,,
,,501,0213,Dia Festivo,7,X,,,,,,,
,,501,0214,Prima de AntigÃ¼edad,7,X,,,,10101,501,350,             IMPTOS S/SALARIOS
,,501,0215,IndemnizaciÃ³n,7,X,,,,10101,501,35001,               IMSS
,,501,0216,Apoyo de Defuncion,7,X,,,,10101,501,35002,               SAR
,,501,0217,Apoyo por Matrimonio,7,X,,,,10101,501,35003,               INFONAVIT
,,501,0218,Fondo de Ahorro,7,X,,,,10101,501,35003,               INFONAVIT
,,501,0250,IMPTOS S/SALARIOS,7,N,,,,10101,501,35004,               2% SOBRE NOMINA
,,501,025001,IMSS,8,X,,,,,,,
,,501,025002,SAR,8,X,,,,,,,
,,501,025003,INFONAVIT,8,X,,,,,,,
,,501,025004,2% SOBRE NOMINA,8,X,,,,,,,
,,501,03,      SUELDOS INDIRECTOS FAB,6,N,,,,,,,
,,501,0301,Sueldos,7,X,,,,,,,
,,501,0302,Horas Extras Dobl,7,X,,,,,,,
,,501,0303,Horas Extras Triples,7,X,,,,,,,
,,501,0304,Gratificaciones,7,X,,,,,,,
,,501,0305,Bono de Productividad,7,X,,,,,,,
,,501,0306,Bono de Asistencia,7,X,,,,,,,
,,501,0307,Bono de Puntualidad,7,X,,,,,,,
,,501,0308,Vacaciones,7,X,,,,,,,
,,501,0309,Prima Vacacional,7,X,,,,,,,
,,501,0310,Aguinaldo,7,X,,,,,,,
,,501,0311,Despensas,7,X,,,,,,,
,,501,0312,Prima Dominical,7,X,,,,,,,
,,501,0313,Dia Festivo,7,X,,,,,,,
,,501,0314,Prima de AntigÃ¼edad,7,X,,,,,,,
,,501,0315,IndemnizaciÃ³n,7,X,,,,,,,
,,501,0316,Apoyo de Defuncion,7,X,,,,,,,
,,501,0317,Apoyo por Matrimonio,7,X,,,,,,,
,,501,0318,Fondo de Ahorro,7,X,,,,,,,
,,501,0350,IMPTOS S/SALARIOS,7,N,,,,,,,
,,501,035001,IMSS,8,X,,,,,,,
,,501,035002,SAR,8,X,,,,,,,
,,501,035003,INFONAVIT,8,X,,,,,,,
,,501,035004,2% SOBRE NOMINA,8,X,,,,,,,
,502,502,,PRODUCCIÓN ,5,N,11,,,,,,
,,502,01,PRODUCCIÓN GENERAL,6,N,18,,,,,,
,,502,0101,Inventario Inicial En Proceso,7,X,29,,,,,,
,,502,0102,Consumo de Mat Prima,7,X,20,,,,,,
,,502,0103,M.O. Directa (Inc. Beneficios),7,X,30,,,,,,
,,502,0104,Gastos de Fabricacion Reales,7,X,28,,,,,,
,,502,0105,Costo Estandar de Lo Producido,7,X,30,,,,,,
,,502,0106,Inventario Final En Proceso,7,X,27,,,,,,
,,502,0107,Variacion Materiales Proceso,7,X,28,,,,,,
,,502,0108,Variacion de M.O Al Proceso,7,X,27,,,,,,
,,502,0109,Variacion de Gastos Al Proceso,7,X,30,,,,,,
XXXXX,510,510,,VARIACIONES DEL COSTO STANDARD,5,N,30,,,,,,
,,510,01,VARIACIONES EN USO,6,X,18,,,,,,
,,510,02,VARIACIONES EN PRECIO,6,X,21,,,,,,
,,510,03,VARIACIONES EN GASTOS,6,X,21,,,,,,
,,510,04,VARIACIONES EN M.O.,6,X,19,,,,,,
,,510,05,CAMBIOS DEL STANDARD,6,X,20,,,,,,
XXXXX,60,60,,GASTOS DE OPERACIÓN,4,N,19,,,,,,
XXXXX,600,600,,GASTOS DE ADMON. DE PLANTA,5,N,26,,Solo modificar la descripción,,,,
,,600,01,GASTOS DE ADMON. DE PLANTA,6,N,26,,Solo modificar la descripción,,,,
,,600,0101,Servicios Especializados Indirect,7,X,33,,Solo modificar la descripción,,,,
,,600,0102,Beneficio Serv Especializ Ind,7,X,29,,,,,,
,,600,0103,Combustibles,7,X,12,,,,,,
,,600,0104,Energia Electrica,7,X,17,,,,,,
,,600,0105,Depr. y Amortizaciones,7,N,22,,,,,,
,,600,10501,Edificios,8,X,9,,,,,,
,,600,10502,Maquinaria Y Equipo,8,X,19,,,,,,
,,600,10503,Equipo de Transporte,8,X,20,,,,,,
,,600,10504,Equipo de Oficina,8,X,17,,,,,,
,,600,10505,Equipo de Computo,8,X,17,,,,,,
,,600,10506,Equipo de Laboratorio,8,X,21,,,,,,
,,600,10507,Moldes y Troqueles,8,X,18,,,,,,
,,600,0106,Transporte de Personal,7,X,22,,,,,,
,,600,0107,Derechos Y Contribuciones,7,X,25,,,,,,
,,600,0108,Diversos,7,X,8,,,,,,
,,600,0109,No Deducibles,7,X,13,,,,,,
,,600,0110,Equipos Menores,7,X,15,,,,,,
,,600,0111,Gastos de Viaje,7,X,15,,,,,,
,,600,0112,Mantenimiento,7,X,13,,,,,,
,,600,0113,Telefonos,7,X,9,,,,,,
,,600,0114,Arrendamiento de Equipos,7,X,24,,,,,,
,,600,0115,Arrendamiento de Inmuebles,7,N,26,,,,,,
,,600,011501,Arrendamiento PF,8,X,16,,,,,,
,,600,011502,Arrendamiento PM,8,X,16,,,,,,
,,600,0116,Mensajeria Y Paq Sin Ret,7,X,24,,,,,,
,,600,0117,Mensajeria Y Paq Con Ret,7,X,24,,,,,,
,,600,0118,Seguros Y Fianzas,7,X,17,,,,,,
,,600,0119,Honorarios Sin Ret,7,N,18,,,,,,
,,600,011901,Honorarios PM Nacional,8,X,22,,,,,,
,,600,011902,Honorarios a Extranjero,8,X,23,,,,,,
,,600,0120,Honorarios Con Ret,7,X,18,,,,,,
,,600,0121,Papeleria,7,X,9,,,,,,
,,600,0122,Comedor,7,X,7,,,,,,
,,600,0123,Capacitacion y Adiestramiento,7,X,29,,,,,,
,,600,0124,Ropa de Trabajo,7,X,15,,,,,,
,,600,0125,Donativos,7,X,9,,,,,,
,,600,0126,Retiro de Asociados,7,X,19,,,,,,
,,600,0127,Reclutamiento,7,X,13,,,,,,
,,600,0128,Articulos de Limpieza,7,X,21,,,,,,
,,600,02,SALARIOS ADMINISTRACION,6,N,,,,,,,
,,600,0201, SUELDOS,7,X,,,,,,,
,,600,0202, HORAS EXTRAS DOBLES,7,X,,,,,,,
,,600,0203, HORAS EXTRAS TRIPLES,7,X,,,,,,,
,,600,0204, GRATIFICACIONES,7,X,,,,,,,
,,600,0205, BONO DE PRODUCTIVIDAD,7,X,,,,,,,
,,600,0206, BONO DE ASISTENCIA,7,X,,,,,,,
,,600,0207, BONO DE PUNTUALIDAD,7,X,,,,,,,
,,600,0208, VACACIONES,7,X,,,,,,,
,,600,0209, PRIMA VACACIONAL,7,X,,,,,,,
,,600,0210, AGUINALDO,7,X,,,,,,,
